abbreviation_metabolite,casregistry_metabolite,cheblid_metabolite,description_metabolite,fullname_metabolite,hmdb_metabolite,inchikey_metabolite,inchistring_metabolite,keggid_metabolite,biocyc_metabolite,food_db_metabolite,reconmap3_metabolite,smile_metabolite,inchiKey_metabolite,inchiString_metabolite,chebi_accession,SOURCE,name,definition,InChI
362,C03681,566-65-4,28952.0,"Human Metabolome Database (HMDB): 5a-Pregnane-3,20-dione is a biologically active 5-alpha-reduced metabolite of plasma progesterone. It is the immediate precursor of 5-alpha-pregnan-3-alpha-ol-20-one (allopregnanolone), a neuroactive steroid that binds with GABA(A) receptor.","5a-Pregnane-3,20-dione",HMDB0003759,b,b,C03681,CPD-293,FDB023222,C03681,[H]C([H])([H])C(=O)[C@@]1([H])C([H])([H])C([H])([H])[C@@]2([H])[C@]3([H])C([H])([H])C([H])([H])[C@@]4([H])C([H])([H])C(=O)C([H])([H])C([H])([H])[C@]4(C([H])([H])[H])[C@@]3([H])C([H])([H])C([H])([H])[C@]12C([H])([H])[H],XMRPGKVKISIQBV-BJMCWZGWSA-N,"InChI=1S/C21H32O2/c1-13(22)17-6-7-18-16-5-4-14-12-15(23)8-10-20(14,2)19(16)9-11-21(17,18)3/h14,16-19H,4-12H2,1-3H3/t14-,16-,17+,18-,19-,20-,21+/m0/s1",CHEBI:28952,ChEBI,"5alpha-pregnane-3,20-dione",A C21-steroid hormone that is 5alpha-pregnane substituted by oxo groups at positions 3 and 20. It is a metabolite of progestrone.,"InChI=1S/C21H32O2/c1-13(22)17-6-7-18-16-5-4-14-12-15(23)8-10-20(14,2)19(16)9-11-21(17,18)3/h14,16-19H,4-12H2,1-3H3/t14-,16-,17+,18-,19-,20-,21+/m0/s1"
363,C03958,24305-27-9,35940.0,b,Thyrotropin Releasing Hormone,HMDB05763,b,b,C03958,b,b,b,[H]N([H])C(=O)[C@@]1([H])N(C(=O)[C@@]([H])(N([H])C(=O)[C@@]2([H])N([H])C(=O)C([H])([H])C2([H])[H])C([H])([H])C2=C([H])N=C([H])N2[H])C([H])([H])C([H])([H])C1([H])[H],XNSAINXGIQZQOO-SRVKXCTJSA-N,"InChI=1S/C16H22N6O4/c17-14(24)12-2-1-5-22(12)16(26)11(6-9-7-18-8-19-9)21-15(25)10-3-4-13(23)20-10/h7-8,10-12H,1-6H2,(H2,17,24)(H,18,19)(H,20,23)(H,21,25)/t10-,11-,12-/m0/s1",CHEBI:35940,ChEBI,protirelin,"A tripeptide composed of L-pyroglutamyl, L-histidyl and L-prolinamide residues joined in sequence.","InChI=1S/C16H22N6O4/c17-14(24)12-2-1-5-22(12)16(26)11(6-9-7-18-8-19-9)21-15(25)10-3-4-13(23)20-10/h7-8,10-12H,1-6H2,(H2,17,24)(H,18,19)(H,20,23)(H,21,25)/t10-,11-,12-/m0/s1"
364,C04295,521-17-5,2710.0,"Human Metabolome Database (HMDB): 5-Androstenediol is a direct metabolite of the most abundant steroid produced by the human adrenal cortex, dehydroepiandrosterone (DHEA). 5-Androstenediol is less androgenic than 4-androstenediol, and stimulates the immune system. When administered to rats in vivo, 5-androstenediol has approximately 1/70 the androgenicity of DHEA, 1/185 the androgenicity of androstenedione, and 1/475 the androgenicity of testosterone (Wikipedia). Because it induces production of white blood cells and platelets, 5-androstenediol is being developed as a radiation countermeasure as Neumune (HE2100). An intermediate in testosterone biosynthesis, found in the testis or the adrenal glands. 5-Androstenediol, derived from dehydroepiandrosterone by the reduction of the 17-keto group (17-hydroxysteroid dehydrogenases), is converted to testosterone by the oxidation of the 3-beta hydroxyl group to a 3-keto group (3-fydroxysteroid dehydrogenase).",5-Androstenediol,HMDB0003818,b,b,C04295,b,FDB023228,b,[H]O[C@@]1([H])C([H])([H])C([H])([H])[C@@]2([H])[C@]3([H])C([H])([H])C([H])=C4C([H])([H])[C@@]([H])(O[H])C([H])([H])C([H])([H])[C@]4(C([H])([H])[H])[C@@]3([H])C([H])([H])C([H])([H])[C@]12C([H])([H])[H],QADHLRWLCPCEKT-LOVVWNRFSA-N,"InChI=1S/C19H30O2/c1-18-9-7-13(20)11-12(18)3-4-14-15-5-6-17(21)19(15,2)10-8-16(14)18/h3,13-17,20-21H,4-11H2,1-2H3/t13-,14-,15-,16-,17-,18-,19-/m0/s1",CHEBI:2710,KEGG COMPOUND,"androst-5-ene-3beta,17beta-diol",A 3beta-hydroxy steroid that is 3beta-hydroxyandrost-5-ene carrying an additional hydroxy group at position 17beta.,"InChI=1S/C19H30O2/c1-18-9-7-13(20)11-12(18)3-4-14-15-5-6-17(21)19(15,2)10-8-16(14)18/h3,13-17,20-21H,4-11H2,1-2H3/t13-,14-,15-,16-,17-,18-,19-/m0/s1"
365,C04717,33964-75-9,15655.0,"Human Metabolome Database (HMDB): 13-L-Hydroperoxylinoleic acid (13(S)-HPODE) is one of the primary products of the major polyunsaturated fatty acids (linoleic acid and arachidonic acid) from the 15-1ipoxygenase pathway (EC: 1.13.11.31). 13(S)-HPODE is a rather unstable metabolite and is rapidly metabolized to more stable secondary products such as diverse forms of hydroxy fatty acids (via reduction of the hydroperoxy group), alkoxy radicals (via homolytic cleavage of the peroxy group), forms of dihydro(pero)xy fatty acids (via lipoxygenase-catalysed double and triple oxygenation), or epoxy leukotrienes (via a hydrogen abstraction from a doubly allylic methylene group and a homolytic cleavage of the hydroperoxy group). (PMID 9082450).",13-L-Hydroperoxylinoleic acid,HMDB0003871,b,b,C04717,b,FDB023240,C04717,[H]OO[C@]([H])(C(\[H])=C(/[H])\C(\[H])=C(\[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)O[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],JDSRHVWSAMTSSN-IRQZEAMPSA-N,"InChI=1S/C18H32O4/c1-2-3-11-14-17(22-21)15-12-9-7-5-4-6-8-10-13-16-18(19)20/h7,9,12,15,17,21H,2-6,8,10-11,13-14,16H2,1H3,(H,19,20)/b9-7-,15-12+/t17-/m0/s1",CHEBI:15655,ChEBI,13(S)-HPODE,The (S)-enantiomer of 13-HPODE,"InChI=1S/C18H32O4/c1-2-3-11-14-17(22-21)15-12-9-7-5-4-6-8-10-13-16-18(19)20/h7,9,12,15,17,21H,2-6,8,10-11,13-14,16H2,1H3,(H,19,20)/b9-7-,15-12+/t17-/m0/s1"
366,C04849,b,b,"Human Metabolome Database (HMDB): (5Z,9E,14Z)-(8xi,11R,12S)-11,12-epoxy-8-hydroxyicosa-5,9,14-trienoic Acid, also known as Hepoxilin a3 or 8-EH-2, is classified as a member of the Hepoxilins. Hepoxilins are eicosanoids containing an oxirane group attached to the fatty acyl chain. (5Z,9E,14Z)-(8xi,11R,12S)-11,12-epoxy-8-hydroxyicosa-5,9,14-trienoic Acid is considered to be practically insoluble (in water) and acidic","(5Z,9E,14Z)-(8xi,11R,12S)-11,12-epoxy-8-hydroxyicosa-5,9,14-trienoic Acid",HMDB0062619,b,b,C04849,b,b,C04849,[H]OC([H])(C(\[H])=C(/[H])[C@@]1([H])O[C@@]1([H])C([H])([H])C(\[H])=C(\[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])C(\[H])=C(\[H])C([H])([H])C([H])([H])C([H])([H])C([O-])=O,SGTUOBURCVMACZ-CIQDQOFUSA-M,"InChI=1S/C20H32O4/c1-2-3-4-5-6-10-13-18-19(24-18)16-15-17(21)12-9-7-8-11-14-20(22)23/h6-7,9-10,15-19,21H,2-5,8,11-14H2,1H3,(H,22,23)/p-1/b9-7-,10-6-,16-15+/t17?,18-,19+/m0/s1",CHEBI:57449,Rhea,"(5Z,9E,14Z)-(8xi,11R,12S)-11,12-epoxy-8-hydroxyicosa-5,9,14-trienoate","Conjugate base of (5Z,9E,14Z)-(8xi,11R,12S)-11,12-epoxy-8-hydroxyicosa-5,9,14-trienoic acid arising from deprotonation of the carboxylic acid function.","InChI=1S/C20H32O4/c1-2-3-4-5-6-10-13-18-19(24-18)16-15-17(21)12-9-7-8-11-14-20(22)23/h6-7,9-10,15-19,21H,2-5,8,11-14H2,1H3,(H,22,23)/p-1/b9-7-,10-6-,16-15+/t17?,18-,19+/m0/s1"
367,C05109,79-62-9,28113.0,"Human Metabolome Database (HMDB): 24,25-Dihydrolanosterol is involved in the biosynthesis of steriods. 24,25-Dihydrolanosterol is reversibly converted to lanosterol by delta24-sterol reductase [EC:1.3.1.72].","24,25-Dihydrolanosterol",HMDB0006839,b,b,C05109,CPD-8606,FDB004614,C05109,[H]O[C@@]1([H])C([H])([H])C([H])([H])[C@@]2(C3=C(C([H])([H])C([H])([H])[C@@]2([H])C1(C([H])([H])[H])C([H])([H])[H])[C@]1(C([H])([H])[H])C([H])([H])C([H])([H])[C@]([H])([C@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])[C@@]1(C([H])([H])[H])C([H])([H])C3([H])[H])C([H])([H])[H],MBZYKEVPFYHDOH-BQNIITSRSA-N,"InChI=1S/C30H52O/c1-20(2)10-9-11-21(3)22-14-18-30(8)24-12-13-25-27(4,5)26(31)16-17-28(25,6)23(24)15-19-29(22,30)7/h20-22,25-26,31H,9-19H2,1-8H3/t21-,22-,25+,26+,28-,29-,30+/m1/s1",CHEBI:28113,ChEBI,"24,25-dihydrolanosterol",A 3beta-sterol formed from lanosterol by reduction across the C-24-C-25 double bond.,"InChI=1S/C30H52O/c1-20(2)10-9-11-21(3)22-14-18-30(8)24-12-13-25-27(4,5)26(31)16-17-28(25,6)23(24)15-19-29(22,30)7/h20-22,25-26,31H,9-19H2,1-8H3/t21-,22-,25+,26+,28-,29-,30+/m1/s1"
368,C05284,382-44-5,27967.0,"Human Metabolome Database (HMDB): 11beta-Hydroxyandrost-4-ene-3,17-dione is an intermediate in adrenosterone production. 11beta-Hydroxyandrost-4-ene-3,17-dione is produced from androst-4-ene-3,17-dione, a reaction catalyzed by the enzyme cytochrome P450 B [EC:1.14.15.4]. 11beta-Hydroxyandrost-4-ene-3,17-dione is then converted into adrenosterone by the enzyme 11beta-hydroxysteroid dehydrogenase [EC:1.1.1.146].","11b-Hydroxyandrost-4-ene-3,17-dione",HMDB0006773,b,b,C05284,b,FDB024075,b,[H]O[C@@]1([H])C([H])([H])[C@@]2(C(=O)C([H])([H])C([H])([H])[C@@]2([H])[C@]2([H])C([H])([H])C([H])([H])C3=C([H])C(=O)C([H])([H])C([H])([H])[C@]3(C([H])([H])[H])[C@@]12[H])C([H])([H])[H],WSCUHXPGYUMQEX-KCZNZURUSA-N,"InChI=1S/C19H26O3/c1-18-8-7-12(20)9-11(18)3-4-13-14-5-6-16(22)19(14,2)10-15(21)17(13)18/h9,13-15,17,21H,3-8,10H2,1-2H3/t13-,14-,15-,17+,18-,19-/m0/s1",CHEBI:27967,ChEBI,"11beta-hydroxyandrost-4-ene-3,17-dione",y,"InChI=1S/C19H26O3/c1-18-8-7-12(20)9-11(18)3-4-13-14-5-6-16(22)19(14,2)10-15(21)17(13)18/h9,13-15,17,21H,3-8,10H2,1-2H3/t13-,14-,15-,17+,18-,19-/m0/s1"
369,C05298,362-06-1,1156.0,"Human Metabolome Database (HMDB): Estrone (also oestrone) is an estrogenic hormone secreted by the ovary. Its molecular formula is C18H22O2. estrone has a melting point of 254.5 degrees Celsius. estrone is one of the three estrogens, which also include estriol and estradiol. estrone is the least prevalent of the three hormones, estradiol being prevalent almost always in a female body, estriol being prevalent primarily during pregnancy. estrone sulfate is relevant to health and disease due to its conversion to estrone sulfate, a long-lived derivative of estrone. estrone sulfate acts as a pool of estrone which can be converted as needed to the more active estradiol.",2-Hydroxyestrone,HMDB0000343,b,b,C05298,b,FDB021966,C05298,[H]OC1=C([H])C2=C(C([H])=C1O[H])[C@@]1([H])C([H])([H])C([H])([H])[C@@]3(C(=O)C([H])([H])C([H])([H])[C@@]3([H])[C@]1([H])C([H])([H])C2([H])[H])C([H])([H])[H],SWINWPBPEKHUOD-JPVZDGGYSA-N,"InChI=1S/C18H22O3/c1-18-7-6-11-12(14(18)4-5-17(18)21)3-2-10-8-15(19)16(20)9-13(10)11/h8-9,11-12,14,19-20H,2-7H2,1H3/t11-,12+,14-,18-/m0/s1",CHEBI:1156,KEGG COMPOUND,2-hydroxyestrone,A 2-hydroxy steroid that is estrone substituted by a hydroxy group at position 2.,"InChI=1S/C18H22O3/c1-18-7-6-11-12(14(18)4-5-17(18)21)3-2-10-8-15(19)16(20)9-13(10)11/h8-9,11-12,14,19-20H,2-7H2,1H3/t11-,12+,14-,18-/m0/s1"
370,C05299,362-08-3,1189.0,Human Metabolome Database (HMDB): 2-methoxyestrone is a steroid derivative that is a byproduct of estrone and 2-hydroxyestrone metabolism. It is part of the androgen and estrogen metabolic pathway. The acid ionization constant (pKa) of 2-methoxyestrone is 10.81 (PMID: 516114). 2-Methoxyestrone can be metabolized to a sulfated derivative (2-Methoxyestrone 3-sulfate) via steroid sulfotransferase (EC 2.8.2.15). It can also be glucuronidated to 2-Methoxyestrone 3-glucuronide by UDP glucuronosyltransferase (EC 2.4.1.17).,2-Methoxyestrone,HMDB0000010,b,b,C05299,ESTRONE-SULFATE,FDB021868,C05299,[H]OC1=C([H])C2=C(C([H])=C1OC([H])([H])[H])[C@@]1([H])C([H])([H])C([H])([H])[C@@]3(C(=O)C([H])([H])C([H])([H])[C@@]3([H])[C@]1([H])C([H])([H])C2([H])[H])C([H])([H])[H],WHEUWNKSCXYKBU-QPWUGHHJSA-N,"InChI=1S/C19H24O3/c1-19-8-7-12-13(15(19)5-6-18(19)21)4-3-11-9-16(20)17(22-2)10-14(11)12/h9-10,12-13,15,20H,3-8H2,1-2H3/t12-,13+,15-,19-/m0/s1",CHEBI:1189,KEGG COMPOUND,2-methoxyestrone,A 17-oxo steroid that is estrone in which the hydrogen at position 2 has been replaced by a methoxy group.,"InChI=1S/C19H24O3/c1-19-8-7-12-13(15(19)5-6-18(19)21)4-3-11-9-16(20)17(22-2)10-14(11)12/h9-10,12-13,15,20H,3-8H2,1-2H3/t12-,13+,15-,19-/m0/s1"
371,C05300,566-76-7,776.0,"Human Metabolome Database (HMDB): Estrone (also oestrone) is an estrogenic hormone secreted by the ovary. Its molecular formula is C18H22O2. estrone has a melting point of 254.5 degrees Celsius. estrone is one of the three estrogens, which also include estriol and estradiol. estrone is the least prevalent of the three hormones, estradiol being prevalent almost always in a female body, estriol being prevalent primarily during pregnancy. estrone sulfate is relevant to health and disease due to its conversion to estrone sulfate, a long-lived derivative of estrone. estrone sulfate acts as a pool of estrone which can be converted as needed to the more active estradiol.",16a-Hydroxyestrone,HMDB0000335,b,b,C05300,b,FDB021959,C05300,[H]OC1=C([H])C2=C(C([H])=C1[H])[C@@]1([H])C([H])([H])C([H])([H])[C@@]3(C(=O)[C@]([H])(O[H])C([H])([H])[C@@]3([H])[C@]1([H])C([H])([H])C2([H])[H])C([H])([H])[H],WPOCIZJTELRQMF-QFXBJFAPSA-N,"InChI=1S/C18H22O3/c1-18-7-6-13-12-5-3-11(19)8-10(12)2-4-14(13)15(18)9-16(20)17(18)21/h3,5,8,13-16,19-20H,2,4,6-7,9H2,1H3/t13-,14-,15+,16-,18+/m1/s1",CHEBI:776,KEGG COMPOUND,16alpha-hydroxyestrone,The 16alpha-hydroxy derivative of estrone; a minor estrogen metabolite.,"InChI=1S/C18H22O3/c1-18-7-6-13-12-5-3-11(19)8-10(12)2-4-14(13)15(18)9-16(20)17(18)21/h3,5,8,13-16,19-20H,2,4,6-7,9H2,1H3/t13-,14-,15+,16-,18+/m1/s1"
372,C05301,362-05-0,28744.0,"Human Metabolome Database (HMDB): 2-Hydroxyestradiol is generated from estradiol by a Cytochrome P450. 2-Hydroxyestradiol binds, with a low affinity, to estrogen receptors. It inhbits catechol-O-methyltransferase (COMT) activity. Inactivity of COMT blocks inactivation of catechol hormones and catecholamine neutransmitters. 2-Hydroxyestradiol is also reported to inhibit angiongensis and tumor cell growth (PMID: 9472688).",2-Hydroxyestradiol,HMDB0000338,b,b,C05301,2-HYDROXY-ESTRADIOL,FDB021962,C05301,[H]OC1=C([H])C2=C(C([H])=C1O[H])[C@@]1([H])C([H])([H])C([H])([H])[C@]3(C([H])([H])[H])[C@@]([H])(O[H])C([H])([H])C([H])([H])[C@@]3([H])[C@]1([H])C([H])([H])C2([H])[H],DILDHNKDVHLEQB-XSSYPUMDSA-N,"InChI=1S/C18H24O3/c1-18-7-6-11-12(14(18)4-5-17(18)21)3-2-10-8-15(19)16(20)9-13(10)11/h8-9,11-12,14,17,19-21H,2-7H2,1H3/t11-,12+,14-,17-,18-/m0/s1",CHEBI:28744,ChEBI,2-hydroxy-17beta-estradiol,A 2-hydroxy steroid that consists of 17beta-estradiol having an additional hydroxy group at position 2.,"InChI=1S/C18H24O3/c1-18-7-6-11-12(14(18)4-5-17(18)21)3-2-10-8-15(19)16(20)9-13(10)11/h8-9,11-12,14,17,19-21H,2-7H2,1H3/t11-,12+,14-,17-,18-/m0/s1"
373,C05302,362-07-2,28955.0,"Human Metabolome Database (HMDB): 2-Methoxyestradiol (2ME2) is a drug that prevents the formation of new blood vessels that tumors need in order to grow (angiogenesis). It is derived from estrogen, although it binds poorly to known estrogen receptors, and belongs to the family of drugs called angiogenesis inhibitors. It has undergone Phase 1 clinical trials against breast cancers. Preclinical models also suggest that 2ME2 could also be effective against inflammatory diseases such as rheumatoid arthritis. The CAS name for 2ME2 is (17 beta)-2-methoxyestra-1,3,5(10)-triene-3,17-diol. It also acts as a vasodilator.",2-Methoxyestradiol,HMDB0000405,b,b,C05302,BACIMETHRIN,FDB022021,C05302,[H]OC1=C([H])C2=C(C([H])=C1OC([H])([H])[H])[C@@]1([H])C([H])([H])C([H])([H])[C@]3(C([H])([H])[H])[C@@]([H])(O[H])C([H])([H])C([H])([H])[C@@]3([H])[C@]1([H])C([H])([H])C2([H])[H],CQOQDQWUFQDJMK-SSTWWWIQSA-N,"InChI=1S/C19H26O3/c1-19-8-7-12-13(15(19)5-6-18(19)21)4-3-11-9-16(20)17(22-2)10-14(11)12/h9-10,12-13,15,18,20-21H,3-8H2,1-2H3/t12-,13+,15-,18-,19-/m0/s1",CHEBI:28955,ChEBI,2-methoxy-17beta-estradiol,"A 17beta-hydroxy steroid, being 17beta-estradiol methoxylated at C-2.","InChI=1S/C19H26O3/c1-19-8-7-12-13(15(19)5-6-18(19)21)4-3-11-9-16(20)17(22-2)10-14(11)12/h9-10,12-13,15,18,20-21H,3-8H2,1-2H3/t12-,13+,15-,18-,19-/m0/s1"
374,C05770,14643-66-4,27609.0,"Human Metabolome Database (HMDB): Coproporphyrin III is a porphyrin metabolite arising from heme synthesis. Porphyrins are pigments found in both animal and plant life. Coproporphyrin III is a tetrapyrrole dead-end product from the spontaneous oxidation of the methylene bridges of coproporphynogen, arising from heme synthesis and secreted in feces and urine. Increased levels of coproporphyrins can indicate congenital erythropoietic porphyria or sideroblastic anaemia, which are inherited disorders. Porphyria is a pathological state characterised by abnormalities of porphyrin metabolism and results in the excretion of large quantities of porphyrins in the urine and in extreme sensitivity to light. A large number of factors are capable of increasing porphyrin excretion, owing to different and multiple causes and etiologies: 1) the main site of the chronic hepatic porphyria disease process concentrates on the liver, 2) a functional and morphologic liver injury is almost regularly associated with this chronic porphyria, 3) the toxic form due to occupational and environmental exposure takes mainly a subclinical course. Hepatic factors includes disturbance in coproporphyrinogen metabolism, which results from inhibition of coproporphyrinogen oxidase as well as from the rapid loss from, and diminished utilization of coproporphyrinogen in the hepatocytes, which may also explain why coproporphyrin, its autoxidation product, predominates physiologically in the urine; decreased biliary excretion of coproporphyrin leading to a compensatory urinary excretion, so that the coproporphyrin ring isomer ratio (1:III) becomes a sensitive index for impaired liver function and intrahepatic cholestasis; and disturbed activity of hepatic uroporphyrinogen decarboxylase. In itself, secondary coproporphyrinuria is not associated with porphyria symptoms of a hepatologic-gastroenterologic, neurologic, or dermatologic order, even though coproporphyrinuria can occur with such symptoms. (PMID: 3327428).",Coproporphyrin III,HMDB0000570,b,b,C05770,b,FDB005557,C05770,[H]N1\C2=C([H])/C3=N/C(=C([H])\C4=C(C(=C(N4[H])\C([H])=C4/N=C(/C(/[H])=C1/C(=C2C([H])([H])[H])C([H])([H])C([H])([H])C([O-])=O)C(=C4C([H])([H])[H])C([H])([H])C([H])([H])C([O-])=O)C([H])([H])[H])C([H])([H])C([H])([H])C([O-])=O)/C(=C3C([H])([H])C([H])([H])C([O-])=O)C([H])([H])[H],JWFCYWSMNRLXLX-UJJXFSCMSA-J,"InChI=1S/C36H38N4O8/c1-17-21(5-9-33(41)42)29-14-27-19(3)22(6-10-34(43)44)30(39-27)15-28-20(4)24(8-12-36(47)48)32(40-28)16-31-23(7-11-35(45)46)18(2)26(38-31)13-25(17)37-29/h13-16,37,40H,5-12H2,1-4H3,(H,41,42)(H,43,44)(H,45,46)(H,47,48)/p-4/b25-13-,26-13-,27-14-,28-15-,29-14-,30-15-,31-16-,32-16-",CHEBI:131725,SUBMITTER,coproporphyrin III(4-),A cyclic tetrapyrrole anion obtained by deprotonation of the four carboxy groups of coproporphyrin III; major species at pH 7.3.,"InChI=1S/C36H38N4O8/c1-17-21(5-9-33(41)42)29-14-27-19(3)22(6-10-34(43)44)30(39-27)15-28-20(4)24(8-12-36(47)48)32(40-28)16-31-23(7-11-35(45)46)18(2)26(38-31)13-25(17)37-29/h13-16,37,40H,5-12H2,1-4H3,(H,41,42)(H,43,44)(H,45,46)(H,47,48)/p-4/b25-13-,26-13-,27-14-,28-15-,29-14-,30-15-,31-16-,32-16-"
375,C05957,60203-57-8,27485.0,"Human Metabolome Database (HMDB): Prostaglandin J2 (PGJ2) is an endogenous product of inflammation in humans. It induces neuronal death and the accumulation of ubiquitinated proteins into distinct aggregates. It may play a role in neurodegenerative disorders inducing a chain of events that culminates in neuronal cell death. An altered expression of enzymes in PGJ2 synthesis may represent a novel pathogenic mechanism in human obesity. The peroxisome proliferator-activated receptor gamma (PPAR&#947;) has a fundamental role in glucose homeostasis and adipocyte differentiation. Besides linoleate, linolenate and arachidonate, the most notable PPAR ligand is 15-deoxy-delta12-14-prostaglandin J2, a natural derivative of prostaglandin D2 and PGJ2. It is therefore plausible that the production of 15d-PGJ2 within adipose tissue may act as an endogenous mediator of adipocyte differentiation. PGJ2 disrupts the cytoskeleton in neuronal cells. This cyclopentenone prostaglandin triggered endoplasmic reticulum (ER) collapse and the redistribution of ER proteins, such as calnexin and catechol-O-methyltransferase, into a large centrosomal aggregate containing ubiquitinated proteins and alpha-synuclein. The PGJ2-dependent cytoskeletal rearrangement paralleled the development of the large centrosomal aggregate. Supporting a mechanism by which, upon PGJ2 treatment, cytoskeleton/ER collapse coincides with the relocation of ER proteins, other potentially neighboring proteins, and ubiquitinated proteins into centrosomal aggregates. Development of these large perinuclear aggregates is associated with disruption of the microtubule/ER network. This aberrant protein deposition, triggered by a product of inflammation, may be common to other compounds that disrupt microtubules and induce protein aggregation, such as MPP+ and rotenone, found to be associated with neurodegeneration. Many neurodegenerative disorders, such as Parkinson disease, exhibit inclusion bodies containing ubiquitinated proteins. Concentrations of PGJ2 in biofluids have not been established, since this prostaglandin is further metabolized into delta12-PGJ2, and 15-deoxy-delta12,14-PGJ2. (PMID: 16737963, 16842938, 16774923)Prostaglandins are eicosanoids. The eicosanoids consist of the prostaglandins (PGs), thromboxanes (TXs), leukotrienes (LTs) and lipoxins (LXs). The PGs and TXs are collectively identified as prostanoids. Prostaglandins were originally shown to be synthesized in the prostate gland, thromboxanes from platelets (thrombocytes) and leukotrienes from leukocytes, hence the derivation of their names. All mammalian cells except erythrocytes synthesize eicosanoids. These molecules are extremely potent, able to cause profound physiological effects at very dilute concentrations. All eicosanoids function locally at the site of synthesis, through receptor-mediated G-protein linked signaling pathways.",Prostaglandin J2,HMDB0002710,b,b,C05957,b,FDB023049,C05957,[H]O[C@]([H])(C([H])=C([H])[C@@]1([H])C(=O)C([H])=C([H])[C@]1([H])C([H])([H])C(\[H])=C(\[H])C([H])([H])C([H])([H])C([H])([H])C([O-])=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],UQOQENZZLBSFKO-POPPZSFYSA-M,"InChI=1S/C20H30O4/c1-2-3-6-10-17(21)13-14-18-16(12-15-19(18)22)9-7-4-5-8-11-20(23)24/h4,7,12-18,21H,2-3,5-6,8-11H2,1H3,(H,23,24)/p-1/b7-4-,14-13+/t16-,17-,18+/m0/s1",CHEBI:133396,SUBMITTER,prostaglandin J2(1-),"A prostaglandin carboxylic acid anion that is the conjugate base of prostaglandin J2, obtained by deprotonation of the carboxy group; major species at pH 7.3.","InChI=1S/C20H30O4/c1-2-3-6-10-17(21)13-14-18-16(12-15-19(18)22)9-7-4-5-8-11-20(23)24/h4,7,12-18,21H,2-3,5-6,8-11H2,1H3,(H,23,24)/p-1/b7-4-,14-13+/t16-,17-,18+/m0/s1"
376,C06948,439-14-5,49575.0,"Human Metabolome Database (HMDB): Diazepam is a benzodiazepine with anticonvulsant, anxiolytic, sedative, muscle relaxant, and amnesic properties and a long duration of action. Its actions are mediated by enhancement of gamma-aminobutyric acid activity. It is used in the treatment of severe anxiety disorders, as a hypnotic in the short-term management of insomnia, as a sedative and premedicant, as an anticonvulsant, and in the management of alcohol withdrawal syndrome. (From Martindale, The Extra Pharmacopoeia, 30th ed, p589).",Diazepam,HMDB0014967,b,b,C06948,b,FDB007103,b,[H]C1=C([H])C([H])=C(C([H])=C1[H])C1=NC([H])([H])C(=O)N(C2=C1C([H])=C(Cl)C([H])=C2[H])C([H])([H])[H],AAOVKJBEBIDNHE-UHFFFAOYSA-N,"InChI=1S/C16H13ClN2O/c1-19-14-8-7-12(17)9-13(14)16(18-10-15(19)20)11-5-3-2-4-6-11/h2-9H,10H2,1H3",CHEBI:49575,ChEBI,diazepam,"A 1,4-benzodiazepinone that is 1,3-dihydro-2H-1,4-benzodiazepin-2-one substituted by a chloro group at position 7, a methyl group at position 1 and a phenyl group at position 5.","InChI=1S/C16H13ClN2O/c1-19-14-8-7-12(17)9-13(14)16(18-10-15(19)20)11-5-3-2-4-6-11/h2-9H,10H2,1H3"
