chebi,name,definition,compound_id,type,accession_number,abbreviation_metabolite,casregistry_metabolite,cheblid_metabolite,description_metabolite,fullname_metabolite,hmdb_metabolite,inchikey_metabolite,inchistring_metabolite,keggid_metabolite,biocyc_metabolite,food_db_metabolite,reconmap3_metabolite,smile_metabolite,inchiKey_metabolite,inchiString_metabolite
10,2981,baicalin,The glycosyloxyflavone which is the 7-O-glucuronide of baicalein. It is an active ingredient of Chinese herbal medicine Scutellaria baicalensis.,15479,KEGG COMPOUND accession,C00630,ibcoa,15621-60-0,15479.0,"Human Metabolome Database (HMDB): Isobutyryl-CoA is a substrate for Acyl-CoA dehydrogenase (short-chain specific, mitochondrial), Acyl-CoA dehydrogenase (medium-chain specific, mitochondrial) and Acyl-CoA dehydrogenase (long-chain specific, mitochondrial).",Isobutyryl-CoA,HMDB0001243,b,b,C00630,ISOBUTYRYL-COA,FDB022508,ibcoa,[H]O[C@@]([H])(C(=O)N([H])C([H])([H])C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])SC(=O)C([H])(C([H])([H])[H])C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])OP([O-])(=O)OP([O-])(=O)OC([H])([H])[C@@]1([H])O[C@@]([H])(N2C([H])=NC3=C(N=C([H])N=C23)N([H])[H])[C@]([H])(O[H])[C@]1([H])OP([O-])([O-])=O,AEWHYWSPVRZHCT-NDZSKPAWSA-J,"InChI=1S/C25H42N7O17P3S/c1-13(2)24(37)53-8-7-27-15(33)5-6-28-22(36)19(35)25(3,4)10-46-52(43,44)49-51(41,42)45-9-14-18(48-50(38,39)40)17(34)23(47-14)32-12-31-16-20(26)29-11-30-21(16)32/h11-14,17-19,23,34-35H,5-10H2,1-4H3,(H,27,33)(H,28,36)(H,41,42)(H,43,44)(H2,26,29,30)(H2,38,39,40)/p-4/t14-,17-,18-,19+,23-/m1/s1"
11,4356,desferrioxamine B,An acyclic desferrioxamine that is butanedioic acid in which one of the carboxy groups undergoes formal condensation with the primary amino group of N-(5-aminopentyl)-N-hydroxyacetamide and the second carboxy group undergoes formal condensation with the hydroxyamino group of N(1)-(5-aminopentyl)-N(1)-hydroxy-N(4)-[5-(hydroxyamino)pentyl]butanediamide. It is a siderophore native to Streptomyces pilosus biosynthesised by the DesABCD enzyme cluster as a high affinity Fe(III) chelator.,16466,KEGG COMPOUND accession,C01301,CE4872,b,16466.0,"Human Metabolome Database (HMDB): 3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestan-26-al is an intermediate in bile acid biosynthesis. Bile acids are steroid acids found predominantly in bile of mammals. The distinction between different bile acids is minute, depends only on presence or absence of hydroxyl groups on positions 3, 7, and 12. Bile acids are physiological detergents that facilitate excretion, absorption, and transport of fats and sterols in the intestine and liver. Bile acids are also steroidal amphipathic molecules derived from the catabolism of cholesterol. They modulate bile flow and lipid secretion, are essential for the absorption of dietary fats and vitamins, and have been implicated in the regulation of all the key enzymes involved in cholesterol homeostasis. Bile acids recirculate through the liver, bile ducts, small intestine and portal vein to form an enterohepatic circuit. They exist as anions at physiological pH and, consequently, require a carrier for transport across the membranes of the enterohepatic tissues. The unique detergent properties of bile acids are essential for the digestion and intestinal absorption of hydrophobic nutrients. Bile acids have potent toxic properties (e.g., membrane disruption) and there are a plethora of mechanisms to limit their accumulation in blood and tissues. (PMID: 11316487, 16037564, 12576301, 11907135). 3a,7a,12a-trihydroxy-5b-cholestane-27-al is an enzymatically generated intermediate in the oxidation process of 5b-cholestane-3a,7a,12a,27-tetrol into 3a,7a,12a-trihydroxy-5b-cholestanoic acid in liver mitochondria. Mitochondrial sterol 27-hydroxylase (EC 1.14.13.60) appears to perform multiple monooxygenations in this conversion. (PMID: 8496170).","3a,7a,12a-Trihydroxy-5b-cholestan-26-al",HMDB0003533,b,b,C01301,b,FDB023188,CE4872,[H]O[C@@]1([H])C([H])([H])C([H])([H])C2(C([H])([H])[H])C([H])(C1([H])[H])C([H])([H])[C@]([H])(O[H])C1([H])C3([H])C([H])([H])C([H])([H])[C@]([H])([C@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])(C([H])=O)C([H])([H])[H])[C@@]3(C([H])([H])[H])[C@]([H])(O[H])C([H])([H])C21[H],USFJGINJGUIFSY-VQKUADTHSA-N,"InChI=1S/C27H46O4/c1-16(15-28)6-5-7-17(2)20-8-9-21-25-22(14-24(31)27(20,21)4)26(3)11-10-19(29)12-18(26)13-23(25)30/h15-25,29-31H,5-14H2,1-4H3/t16?,17-,18?,19+,20-,21?,22?,23+,24-,25?,26?,27-/m1/s1"
12,4356,desferrioxamine B,An acyclic desferrioxamine that is butanedioic acid in which one of the carboxy groups undergoes formal condensation with the primary amino group of N-(5-aminopentyl)-N-hydroxyacetamide and the second carboxy group undergoes formal condensation with the hydroxyamino group of N(1)-(5-aminopentyl)-N(1)-hydroxy-N(4)-[5-(hydroxyamino)pentyl]butanediamide. It is a siderophore native to Streptomyces pilosus biosynthesised by the DesABCD enzyme cluster as a high affinity Fe(III) chelator.,16466,KEGG COMPOUND accession,C01301,thcholst,b,48940.0,b,"3Alpha,7Alpha,12Alpha-Trihydroxy-5Beta-Cholestan-26-Al",b,b,b,C01301,b,b,thcholst,[H]O[C@]1([H])C([H])([H])C([H])([H])[C@@]2(C([H])([H])[H])[C@@]([H])(C1([H])[H])C([H])([H])[C@@]([H])(O[H])[C@@]1([H])[C@]3([H])C([H])([H])C([H])([H])[C@]([H])([C@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])(C([H])=O)C([H])([H])[H])[C@@]3(C([H])([H])[H])[C@@]([H])(O[H])C([H])([H])[C@]21[H],USFJGINJGUIFSY-XZULNKEGSA-N,"InChI=1S/C27H46O4/c1-16(15-28)6-5-7-17(2)20-8-9-21-25-22(14-24(31)27(20,21)4)26(3)11-10-19(29)12-18(26)13-23(25)30/h15-25,29-31H,5-14H2,1-4H3/t16?,17-,18+,19-,20-,21+,22+,23-,24+,25+,26+,27-/m1/s1"
13,2979,baicalein,"A trihydroxyflavone with the hydroxy groups at positions C-5, -6 and -7.",17402,KEGG COMPOUND accession,C03754,,,,,,,,,,,,,,,
14,5818,hydroxyzine,A N-alkylpiperazine that is piperzine in which the nitrogens atoms are substituted by 2-(2-hydroxyethoxy)ethyl and (4-chlorophenyl)(phenyl)methyl groups respectively.,2274,KEGG COMPOUND accession,C02242,,,,,,,,,,,,,,,
15,6980,monocrotaline,a,27750,KEGG COMPOUND accession,C00849,,,,,,,,,,,,,,,
16,4903,17alpha-ethynylestradiol,A 3-hydroxy steroid that is estradiol substituted by a ethynyl group at position 17. It is a  xenoestrogen synthesized from estradiol and has been shown to exhibit high estrogenic potency on oral administration.,17857,KEGG COMPOUND accession,C04327,,,,,,,,,,,,,,,
17,29321,sodium nitroprusside,An organic sodium salt that is the disodium salt of nitroprusside.,9171,KEGG COMPOUND accession,C08313,,,,,,,,,,,,,,,
18,2542,alatolide,A germacrane sesquiterpenoid laactone obtained by formal condensation of the carboxy group of isobutyric acid with the secondary hydroxy group of trihydroxygermaeranolide.,16166,KEGG COMPOUND accession,C02927,,,,,,,,,,,,,,,
19,3682,chrysazin,"A dihydroxyanthraquinone that is anthracene-9,10-dione substituted by hydroxy groups at positions 1 and 8.",16357,KEGG COMPOUND accession,C01162,,,,,,,,,,,,,,,
20,7640,nortriptyline,"An organic tricyclic compound that is 10,11-dihydro-5H-dibenzo[a,d][7]annulene substituted by a 3-(methylamino)propylidene group at position 5. It is an active metabolite of  amitriptyline.",2555,KEGG COMPOUND accession,C11015,,,,,,,,,,,,,,,
21,4754,econazole,"A racemate composed of equimolar amounts of (R)- and (S)-econazole. Used (as its nitrate salt) to treat skin infections such as athlete's foot, jock itch, ringworm and other fungal skin infections.",1845,KEGG COMPOUND accession,C05848,,,,,,,,,,,,,,,
22,9337,sulfathiazole,"A 1,3-thiazole compound having a 4-aminobenzenesulfonamido group at the 2-position.",16556,KEGG COMPOUND accession,C00128,cmpacna,b,16556.0,Human Metabolome Database (HMDB): Cytidine monophosphate N-acetylneuraminic acid is a nucleoside monophosphate sugar which donates N-acetylneuraminic acid to the terminal sugar of a ganglioside or glycoprotein.,Cytidine monophosphate N-acetylneuraminic acid,HMDB0001176,b,b,C00128,CMP-N-ACETYL-NEURAMINATE,FDB022466,cmpacna,[H]OC([H])([H])[C@@]([H])(O[H])[C@@]([H])(O[H])[C@]1([H])O[C@](OP([O-])(=O)OC([H])([H])[C@@]2([H])O[C@@]([H])(N3C([H])=C([H])C(=NC3=O)N([H])[H])[C@]([H])(O[H])[C@]2([H])O[H])(C([O-])=O)C([H])([H])[C@]([H])(O[H])[C@@]1([H])N([H])C(=O)C([H])([H])[H],TXCIAUNLDRJGJZ-BILDWYJOSA-L,"InChI=1S/C20H31N4O16P/c1-7(26)22-12-8(27)4-20(18(32)33,39-16(12)13(29)9(28)5-25)40-41(35,36)37-6-10-14(30)15(31)17(38-10)24-3-2-11(21)23-19(24)34/h2-3,8-10,12-17,25,27-31H,4-6H2,1H3,(H,22,26)(H,32,33)(H,35,36)(H2,21,23,34)/p-2/t8-,9+,10+,12+,13+,14+,15+,16+,17+,20+/m0/s1"
23,29377,sodium carbonate,a,9200,KEGG COMPOUND accession,C11300,,,,,,,,,,,,,,,
24,7466,nandrolone,A 3-oxo Delta(4)-steroid that is estr-4-en-3-one substituted by a beta-hydroxy group at position 17.,2490,KEGG COMPOUND accession,C06102,,,,,,,,,,,,,,,
25,2364,abrusoside A,"A triterpenoid saponin that is (22S,24Z)-3beta-hydroxy-26-oxo-22,26-epoxy-9beta,19-cyclolanost-24-en-28-oic acid having a beta-D-glucosyl residue attached at position 3 via a glycosidic bond.",28738,KEGG COMPOUND accession,C11004,,,,,,,,,,,,,,,
26,29484,"(S)-4,5-dihydroxypentane-2,3-dione","Pentane substituted at the 2- and 3-positions by oxo groups, at the 4- and 5-positions by hydroxy groups and with S stereoconfiguration at C-4.",9243,KEGG COMPOUND accession,C10618,,,,,,,,,,,,,,,
27,9642,N-tosyl-L-phenylalanyl chloromethyl ketone,The N-tosyl derivative of L-phenylalanyl chloromethyl ketone.,27732,KEGG COMPOUND accession,C07481,,,,,,,,,,,,,,,
28,10100,zafirlukast,a,3478,KEGG COMPOUND accession,C06877,,,,,,,,,,,,,,,
29,670,1-phenylethylamine,A phenylethylamine that is ethylamine substituted by a phenyl group at position 1.,300,KEGG COMPOUND accession,C09902,,,,,,,,,,,,,,,
30,4623,(carboxymethyl)(dimethyl)sulfonium,a,16754,KEGG COMPOUND accession,C04558,,,,,,,,,,,,,,,
31,5195,furazolidone,"A member of the class of oxazolidines that is 1,3-oxazolidin-2-one in which the hydrogen attached to the nitrogen is replaced by an N-{[(5-nitro-2-furyl)methylene]amino} group. It has antibacterial and antiprotozoal properties, and is used in the treatment of giardiasis and cholera.",17957,KEGG COMPOUND accession,C04294,,,,,,,,,,,,,,,
32,21285,erythro-4-hydroxy-L-glutamic acid,a,28282,KEGG COMPOUND accession,C04335,,,,,,,,,,,,,,,
33,29223,bromate,a,9131,KEGG COMPOUND accession,C10185,,,,,,,,,,,,,,,
34,25620,2-nitrobenzoic acid,A nitrobenzoic acid carrying the nitro substituent at position 2.,18394,KEGG COMPOUND accession,C01742,,,,,,,,,,,,,,,
35,10782,(S)-(-)-perillyl alcohol,A perillyl alcohol in which the chiral centre has S configuration.,3766,KEGG COMPOUND accession,C06924,,,,,,,,,,,,,,,
36,29851,phenylarsonic acid,a,17717,KEGG COMPOUND accession,C00593,sacald,b,b,b,Sulfoacetaldehyde,b,b,b,C00593,b,b,b,b,b,b
37,29571,dehydroabietic acid,"An abietane diterpenoid that is abieta-8,11,13-triene substituted at position 18 by a carboxy group.",27955,KEGG COMPOUND accession,C01854,,,,,,,,,,,,,,,
38,28,(R)-linalool,The (R)-enantiomer of linalool.,15392,KEGG COMPOUND accession,C03037,,,,,,,,,,,,,,,
39,3638,chloroquine,"An aminoquinoline that is quinoline which is substituted at position 4 by a [5-(diethylamino)pentan-2-yl]amino group at at position 7 by chlorine. It is used for the treatment of malaria, hepatic amoebiasis, lupus erythematosus, light-sensitive skin eruptions, and rheumatoid arthritis.",16122,KEGG COMPOUND accession,C04367,,,,,,,,,,,,,,,
40,1879,2-(4-hydroxyphenyl)ethanol,A phenol substituted at position 4 by a 2-hydroxyethyl group.,16790,KEGG COMPOUND accession,C11630,,,,,,,,,,,,,,,
41,4868,estramustine,A carbamate ester obtained by the formal condensation of the hydroxy group of 17beta-estradiol with the carboxy group of bis(2-chloroethyl)carbamic acid.,1879,KEGG COMPOUND accession,C06044,,,,,,,,,,,,,,,
42,4883,ethidium bromide,The organic bromide salt of ethidium.,27384,KEGG COMPOUND accession,C03680,4izp,17340-16-8,27384.0,Human Metabolome Database (HMDB): 4-Imidazolone-5-propanoate is a metabolite of histidine metabolism. It is produced from urocanic acid by the enzyme urocanate hydratase [EC:4.2.1.49]. 4-Imidazolone-5-propionic acid can spontaneously decay to 4-oxoglutaramate or formylisoglutamine. It is also converted to N-forminimo-L-glutamate by the enzyme imidazolonepropionase [EC:3.5.2.7].,4-Imidazolone-5-propionic acid,HMDB0001014,b,b,C03680,4-IMIDAZOLONE-5-PROPIONATE,FDB022371,4izp,[H]N1C([H])=[N+]([H])C(=O)[C-]1C([H])([H])C([H])([H])C([O-])=O,MYNHYKDPSRPBNZ-UHFFFAOYSA-N,"InChI=1S/C6H7N2O3/c9-5(10)2-1-4-6(11)8-3-7-4/h3H,1-2H2,(H,9,10)(H,7,8,11)/q-1"
43,5014,fenvalerate,A carboxylic ester obtained by formal condensation between 2-(4-chlorophenyl)-3-methylbutyric acid and cyano(3-phenoxyphenyl)methanol.,18312,KEGG COMPOUND accession,C06678,,,,,,,,,,,,,,,
44,2719,Ile(5)-angiotensin II,An angiotensin II that acts on the central nervous system (PDB entry: 1N9V).,27752,KEGG COMPOUND accession,C05803,,,,,,,,,,,,,,,
45,122,(-)-usnic acid,The (-)-enantiomer of usnic acid.,15388,KEGG COMPOUND accession,C11409,,,,,,,,,,,,,,,
46,5063,fipronil,A racemate comprising equimolar amounts of (R)- and (S)-fipronil.,17319,KEGG COMPOUND accession,C05198,dad_5,4754-39-6,17319.0,"Human Metabolome Database (HMDB): 5'-Deoxyadenosine is an oxidized nucleoside found in the urine of normal subjects. Oxidized nucleosides represent excellent biomarkers for determining the extent of damage in genetic material, which has long been of interest in understanding the mechanism of aging, neurodegenerative diseases, and carcinogenesis. (PMID 15116424). The normal form of deoxyadenosine used in DNA synthesis and repair is 2'-deoxyadenosine where the hydroxyl group (-OH) is at the 2' position of its ribose sugar moiety. 5'-deoxyadenosine has its hydroxyl group at the 5' position of the ribose sugar.",5'-Deoxyadenosine,HMDB0001983,b,b,C05198,CH33ADO,FDB022781,b,[H]O[C@@]1([H])[C@@]([H])(O[C@]([H])(C([H])([H])[H])[C@@]1([H])O[H])N1C([H])=NC2=C(N=C([H])N=C12)N([H])[H],XGYIMTFOTBMPFP-KQYNXXCUSA-N,"InChI=1S/C10H13N5O3/c1-4-6(16)7(17)10(18-4)15-3-14-5-8(11)12-2-13-9(5)15/h2-4,6-7,10,16-17H,1H3,(H2,11,12,13)/t4-,6-,7-,10-/m1/s1"
47,1911,4-nitroanisole,A member of the class of 4-nitroanisoles that is anisole in which one the hydrogen meta to the methoxy group is replaced by a nitro group.,771,KEGG COMPOUND accession,C06390,,,,,,,,,,,,,,,
48,12256,7-hydroxyisoflavone,The simplest member of the class of 7-hydroxyisoflavones that is isoflavone with a hydroxy substituent at position 7.,4188,KEGG COMPOUND accession,C11472,,,,,,,,,,,,,,,
49,3023,benzbromarone,"1-Benzofuran substituted at C-2 and C-3 by an ethyl group and a 3,5-dibromo-4-hydroxybenzoyl group respectively. An inhibitor of CYP2C9, it is used as an anti-gout medication.",1235,KEGG COMPOUND accession,C05812,,,,,,,,,,,,,,,
50,3605,chloramphenicol palmitate,a,28318,KEGG COMPOUND accession,C07094,,,,,,,,,,,,,,,
51,26911,oxolane,A cyclic ether that is butane in which one hydrogen from each methyl group is substituted by an oxygen.,8455,KEGG COMPOUND accession,C07631,,,,,,,,,,,,,,,
52,25094,lysine,A diamino acid that is caproic (hexanoic) acid bearing two amino substituents at positions 2 and 6.,16792,KEGG COMPOUND accession,C03797,,,,,,,,,,,,,,,
53,23995,N-ethyl-N-nitrosourea,A member of the class of N-nitrosoureas that is urea in which one of the nitrogens is substituted by ethyl and nitroso groups.,28819,KEGG COMPOUND accession,C09789,,,,,,,,,,,,,,,
54,25189,"1,4-dimercaptobutane-2,3-diol","A glycol that is butane-2,3-diol in which a hydrogen from each of the methyl groups is replaced by a thiol group.",7852,KEGG COMPOUND accession,C08018,,,,,,,,,,,,,,,
55,26271,proline,An alpha-amino acid that is pyrrolidine bearing a carboxy substituent at position 2.,16247,KEGG COMPOUND accession,C00865,M02740,b,16247.0,b,Phospholipids-Extracellular-Pool,b,b,b,C00865,b,b,b,[H]OP(=O)(O[*])OC([H])([H])C([H])(OC([*])=O)C([H])([H])OC([*])=O,b,b
56,2437,acronycine,An alkaloid antineoplastic agent isolated from Acronychia baueri.,17389,KEGG COMPOUND accession,C02112,,,,,,,,,,,,,,,
57,7775,ononin,A 4'-methoxyisoflavone that is formononetin attached to a beta-D-glucopyranosyl moiety at position 7 via a glycosidic linkage.,2621,KEGG COMPOUND accession,C08537,,,,,,,,,,,,,,,
58,4372,(6S)-dehydrovomifoliol,A dehydrovomifoliol that has S-configuration at the chiral centre.,27403,KEGG COMPOUND accession,C05448,thcholoylcoa,57458-60-3,15493.0,"Human Metabolome Database (HMDB): 3a,7a,12a-Trihydroxy-5b-cholestanoyl-CoA is an intermediate in the Bile acid biosynthesis pathway (KEGG). C27-bile acyl-CoAs are converted to their (S)-stereoisomers by the enzyme Alpha-methylacyl-CoA racemase (OMIM 604489).","3a,7a,12a-Trihydroxy-5b-cholestanoyl-CoA",HMDB0002178,b,b,C05448,b,FDB022888,thcholoylcoa,[H]O[C@@]([H])(C(=O)N([H])C([H])([H])C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])SC(=O)C([H])(C([H])([H])[H])C([H])(O[H])C([H])([H])C([H])([H])[C@@]([H])(C([H])([H])[H])[C@@]1([H])C([H])([H])C([H])([H])[C@@]2([H])[C@]3([H])[C@]([H])(O[H])C([H])([H])[C@]4([H])C([H])([H])[C@]([H])(O[H])C([H])([H])C([H])([H])[C@]4(C([H])([H])[H])[C@@]3([H])C([H])([H])C([H])([H])[C@]12C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])OP([O-])(=O)OP([O-])(=O)OC([H])([H])[C@@]1([H])O[C@@]([H])(N2C([H])=NC3=C(N=C([H])N=C23)N([H])[H])[C@]([H])(O[H])[C@]1([H])OP([O-])([O-])=O,SZBMUAIJWNJARR-LUAYSRQUSA-J,"InChI=1S/C48H80N7O20P3S/c1-25(29-8-9-30-36-31(12-15-48(29,30)6)47(5)14-11-28(56)19-27(47)20-33(36)58)7-10-32(57)26(2)45(63)79-18-17-50-35(59)13-16-51-43(62)40(61)46(3,4)22-72-78(69,70)75-77(67,68)71-21-34-39(74-76(64,65)66)38(60)44(73-34)55-24-54-37-41(49)52-23-53-42(37)55/h23-34,36,38-40,44,56-58,60-61H,7-22H2,1-6H3,(H,50,59)(H,51,62)(H,67,68)(H,69,70)(H2,49,52,53)(H2,64,65,66)/p-4/t25-,26?,27+,28-,29-,30+,31+,32?,33-,34-,36+,38-,39-,40+,44-,47+,48-/m1/s1"
