	chebi	name	definition	compound_id	type	accession_number
26	7640	nortriptyline	An organic tricyclic compound that is 10,11-dihydro-5H-dibenzo[a,d][7]annulene substituted by a 3-(methylamino)propylidene group at position 5. It is an active metabolite of  amitriptyline.	2555	KEGG COMPOUND accession	C11015
27	6872	methylene blue	An organic chloride salt having 3,7-bis(dimethylamino)phenothiazin-5-ium as the counterion. A commonly used dye that also exhibits antioxidant, antimalarial, antidepressant and cardioprotective properties.	2380	CAS Registry Number	34381-68-5
28	5692	hexachlorobenzene	A member of the class of chlorobenzenes that is benzene in which all of the hydrogens are replaced by chlorines. An agricultural fungicide introduced in the mid-1940s and formerly used as a seed treatment, its use has been banned since 1984 under the Stockholm Convention on Persistent Organic Pollutants.	2210	CAS Registry Number	130926-71-5
29	4754	econazole	A racemate composed of equimolar amounts of (R)- and (S)-econazole. Used (as its nitrate salt) to treat skin infections such as athlete's foot, jock itch, ringworm and other fungal skin infections.	1845	KEGG COMPOUND accession	C05848
30	9212	sparfloxacin	a	3244	CAS Registry Number	492-13-7
31	8055	5-methylphenazinium methyl sulfate	a	17296	CAS Registry Number	62-53-3
32	9337	sulfathiazole	A 1,3-thiazole compound having a 4-aminobenzenesulfonamido group at the 2-position.	16556	KEGG COMPOUND accession	C00128
33	29377	sodium carbonate	a	9200	KEGG COMPOUND accession	C11300
34	7466	nandrolone	A 3-oxo Delta(4)-steroid that is estr-4-en-3-one substituted by a beta-hydroxy group at position 17.	2490	KEGG COMPOUND accession	C06102
35	2364	abrusoside A	A triterpenoid saponin that is (22S,24Z)-3beta-hydroxy-26-oxo-22,26-epoxy-9beta,19-cyclolanost-24-en-28-oic acid having a beta-D-glucosyl residue attached at position 3 via a glycosidic bond.	28738	KEGG COMPOUND accession	C11004
36	29484	(S)-4,5-dihydroxypentane-2,3-dione	Pentane substituted at the 2- and 3-positions by oxo groups, at the 4- and 5-positions by hydroxy groups and with S stereoconfiguration at C-4.	9243	KEGG COMPOUND accession	C10618
37	9642	N-tosyl-L-phenylalanyl chloromethyl ketone	The N-tosyl derivative of L-phenylalanyl chloromethyl ketone.	27732	KEGG COMPOUND accession	C07481
38	10100	zafirlukast	a	3478	KEGG COMPOUND accession	C06877
39	670	1-phenylethylamine	A phenylethylamine that is ethylamine substituted by a phenyl group at position 1.	300	KEGG COMPOUND accession	C09902
40	1808	(4-chlorophenoxy)acetic acid	A chlorophenoxyacetic acid that is phenoxyacetic acid carrying a chloro substituent at position 4.	16076	CAS Registry Number	80-75-1
41	10432	2-naphthol	A naphthol carrying a hydroxy group at position 2.	28097	CAS Registry Number	108-90-7
42	4623	(carboxymethyl)(dimethyl)sulfonium	a	16754	KEGG COMPOUND accession	C04558
43	5195	furazolidone	A member of the class of oxazolidines that is 1,3-oxazolidin-2-one in which the hydrogen attached to the nitrogen is replaced by an N-{[(5-nitro-2-furyl)methylene]amino} group. It has antibacterial and antiprotozoal properties, and is used in the treatment of giardiasis and cholera.	17957	KEGG COMPOUND accession	C04294
44	26078	phosphoric acid	A phosphorus oxoacid that consists of one oxo and three hydroxy groups joined covalently to a central phosphorus atom.	48574	CAS Registry Number	50-33-9
45	21285	erythro-4-hydroxy-L-glutamic acid	a	28282	KEGG COMPOUND accession	C04335
46	18723	nicotine	A racemate composed of equimolar amounts of (R)- and (S)-nicotine.	6141	CAS Registry Number	94450-08-5
47	29223	bromate	a	9131	KEGG COMPOUND accession	C10185
48	25620	2-nitrobenzoic acid	A nitrobenzoic acid carrying the nitro substituent at position 2.	18394	KEGG COMPOUND accession	C01742
49	10782	(S)-(-)-perillyl alcohol	A perillyl alcohol in which the chiral centre has S configuration.	3766	KEGG COMPOUND accession	C06924
50	29851	phenylarsonic acid	a	17717	KEGG COMPOUND accession	C00593
51	3688	chrysophanol 8-O-beta-D-glucoside	A beta-D-glucoside in which the aglycone species is chrysophanol, the glycosidic linkage being to the hydroxy group at C-8.	15851	CAS Registry Number	21416-43-3
52	29449	hydrogen azide	a	16393	CAS Registry Number	123-78-4
53	29571	dehydroabietic acid	An abietane diterpenoid that is abieta-8,11,13-triene substituted at position 18 by a carboxy group.	27955	KEGG COMPOUND accession	C01854
54	28	(R)-linalool	The (R)-enantiomer of linalool.	15392	KEGG COMPOUND accession	C03037
55	42	(+)-pronuciferine	An  isoquinoline alkaloid isolated from Berberis coletioides.	15600	CAS Registry Number	154-23-4
56	3638	chloroquine	An aminoquinoline that is quinoline which is substituted at position 4 by a [5-(diethylamino)pentan-2-yl]amino group at at position 7 by chlorine. It is used for the treatment of malaria, hepatic amoebiasis, lupus erythematosus, light-sensitive skin eruptions, and rheumatoid arthritis.	16122	KEGG COMPOUND accession	C04367
57	1879	2-(4-hydroxyphenyl)ethanol	A phenol substituted at position 4 by a 2-hydroxyethyl group.	16790	KEGG COMPOUND accession	C11630
58	4868	estramustine	A carbamate ester obtained by the formal condensation of the hydroxy group of 17beta-estradiol with the carboxy group of bis(2-chloroethyl)carbamic acid.	1879	KEGG COMPOUND accession	C06044
59	4883	ethidium bromide	The organic bromide salt of ethidium.	27384	KEGG COMPOUND accession	C03680
60	5014	fenvalerate	A carboxylic ester obtained by formal condensation between 2-(4-chlorophenyl)-3-methylbutyric acid and cyano(3-phenoxyphenyl)methanol.	18312	KEGG COMPOUND accession	C06678
61	2719	Ile(5)-angiotensin II	An angiotensin II that acts on the central nervous system (PDB entry: 1N9V).	27752	KEGG COMPOUND accession	C05803
62	4469	(S)-amphetamine	A 1-phenylpropan-2-amine that has S configuration.	28124	CAS Registry Number	101-14-4
63	15208	taxuyunnanin C	a	48861	CAS Registry Number	6699-20-3
64	10119	ziprasidone	A piperazine compound having 1,2-benzothiazol-3-yl- and 2-(6-chloro-1,3-dihydro-2-oxindol-5-yl)ethyl substituents attached to the nitrogen atoms.	472657	CAS Registry Number	79350-37-1
65	122	(-)-usnic acid	The (-)-enantiomer of usnic acid.	15388	KEGG COMPOUND accession	C11409
66	5063	fipronil	A racemate comprising equimolar amounts of (R)- and (S)-fipronil.	17319	KEGG COMPOUND accession	C05198
67	1911	4-nitroanisole	A member of the class of 4-nitroanisoles that is anisole in which one the hydrogen meta to the methoxy group is replaced by a nitro group.	771	KEGG COMPOUND accession	C06390
68	7563	N-nicotinoylglycine	An N-acylglycine having nicotinoyl as the acyl substituent.	2533	CAS Registry Number	15972-60-8
69	12256	7-hydroxyisoflavone	The simplest member of the class of 7-hydroxyisoflavones that is isoflavone with a hydroxy substituent at position 7.	4188	KEGG COMPOUND accession	C11472
70	3023	benzbromarone	1-Benzofuran substituted at C-2 and C-3 by an ethyl group and a 3,5-dibromo-4-hydroxybenzoyl group respectively. An inhibitor of CYP2C9, it is used as an anti-gout medication.	1235	KEGG COMPOUND accession	C05812
71	3605	chloramphenicol palmitate	a	28318	KEGG COMPOUND accession	C07094
72	26911	oxolane	A cyclic ether that is butane in which one hydrogen from each methyl group is substituted by an oxygen.	8455	KEGG COMPOUND accession	C07631
73	20364	4-fluorobenzoic acid	A fluorobenzoic acid carrying a fluoro substituent at position 4.	16072	CAS Registry Number	541-59-3
74	25094	lysine	A diamino acid that is caproic (hexanoic) acid bearing two amino substituents at positions 2 and 6.	16792	KEGG COMPOUND accession	C03797
75	23995	N-ethyl-N-nitrosourea	A member of the class of N-nitrosoureas that is urea in which one of the nitrogens is substituted by ethyl and nitroso groups.	28819	KEGG COMPOUND accession	C09789
76	25189	1,4-dimercaptobutane-2,3-diol	A glycol that is butane-2,3-diol in which a hydrogen from each of the methyl groups is replaced by a thiol group.	7852	KEGG COMPOUND accession	C08018
77	26271	proline	An alpha-amino acid that is pyrrolidine bearing a carboxy substituent at position 2.	16247	KEGG COMPOUND accession	C00865
78	8212	pimozide	A member of the class of benzimidazoles that is 1,3-dihydro-2H-benzimidazol-2-one in which one of the nitrogens is substituted by a piperidin-4-yl group, which in turn is substituted on the nitrogen by a 4,4-bis(p-fluorophenyl)butyl group.	15843	CAS Registry Number	506-32-1
79	8247	pirenzepine	a	2814	CAS Registry Number	63-75-2
80	13719	acetylsalicylate	A benzoate that is the conjugate base of acetylsalicylic acid, arising from deprotonation of the carboxy group.	4786	CAS Registry Number	76420-72-9
81	2437	acronycine	An alkaloid antineoplastic agent isolated from Acronychia baueri.	17389	KEGG COMPOUND accession	C02112
82	7775	ononin	A 4'-methoxyisoflavone that is formononetin attached to a beta-D-glucopyranosyl moiety at position 7 via a glycosidic linkage.	2621	KEGG COMPOUND accession	C08537
83	4372	(6S)-dehydrovomifoliol	A dehydrovomifoliol that has S-configuration at the chiral centre.	27403	KEGG COMPOUND accession	C05448
84	9753	troglitazone	a	609827	CAS Registry Number	543-38-4
85	9169	sisomycin	a	30772	KEGG COMPOUND accession	C00246
86	10101	zalcitabine	A pyrimidine 2',3'-dideoxyribonucleoside compound having cytosine as the nucleobase.	3478	CAS Registry Number	53994-73-3
87	5002	fenoldopam	a	18311	CAS Registry Number	486-74-8
88	8614	psilocybin	"A tryptamine alkaloid that is N,N-dimethyltryptamine carrying an additional phosphoryloxy substituent at position 4. The major hallucinogenic alkaloid isolated from Psilocybe mushrooms (also known as Teonanacatl or ""magic mushrooms"")."	2991	CAS Registry Number	1415-73-2
89	5855	ibuprofen	A monocarboxylic acid that is propionic acid in which one of the hydrogens at position 2 is substituted by a 4-(2-methylpropyl)phenyl group.	2290	KEGG COMPOUND accession	C05451
90	47	(+)-syringaresinol	The (7alpha,7'alpha,8alpha,8'alpha)-stereoisomer of syringaresinol.	28429	CAS Registry Number	27200-12-0
91	1427	3-(3-hydroxyphenyl)propanoic acid	A monocarboxylic acid that is propionic acid carrying a 3-hydroxyphenyl substituent at C-3.	29081	KEGG COMPOUND accession	C04548
92	6877	trans-isomethyleugenol	a	2382	CAS Registry Number	15835-74-2
93	8093	phenylephrine	A member of the class of the class of phenylethanolamines that is (1R)-2-(methylamino)-1-phenylethan-1-ol carrying an additional hydroxy substituent at position 3 on the phenyl ring.	16366	KEGG COMPOUND accession	C02003
94	3380	captopril	A L-proline derivative in which L-proline is substituted on nitrogen with a (2S)-2-methyl-3-sulfanylpropanoyl group. It is used as an anti-hypertensive ACE inhibitor drug.	28931	KEGG COMPOUND accession	C01367
95	2567	alendronic acid	A 1,1-bis(phosphonic acid) that is methanebis(phosphonic acid) in which the two methylene hydrogens are replaced by hydroxy and 3-aminopropyl groups.	30793	KEGG COMPOUND accession	C02357
96	20339	4-chloroindole-3-acetic acid	a	6645	CAS Registry Number	86702-02-5
97	2968	bacampicillin	A penicillanic acid ester that is the 1-ethoxycarbonyloxyethyl ester of ampicillin. It is a semi-synthetic, microbiologically inactive prodrug of ampicillin.	16616	KEGG COMPOUND accession	C03982
98	8428	procainamide	A benzamide that is 4-aminobenzamide substituted on the amide N by a 2-(diethylamino)ethyl group.  It is a pharmaceutical antiarrhythmic agent used for the medical treatment of cardiac arrhythmias.	40968	CAS Registry Number	472-61-7
99	8430	procaine	A benzoate ester, formally the result of esterification of 4-aminobenzoic acid with 2-diethylaminoethanol but formed experimentally by reaction of ethyl 4-aminobenzoate with 2-diethylaminoethanol.	2896	CAS Registry Number	68844-77-9
100	8736	(R)-(+)-propranolol	a	27388	KEGG COMPOUND accession	C07118
101	3479	cefadroxil	A cephalosporin bearing methyl and  (2R)-2-amino-2-(4-hydroxyphenyl)acetamido groups at positions 3 and 7, respectively, of the cephem skeleton.	27626	KEGG COMPOUND accession	C04445
102	4453	desogestrel	a	27552	CAS Registry Number	480-43-3
103	4638	diphenidol	A tertiary alcohol that is butan-1-ol substituted by two phenyl groups at position 1 and a piperidin-1-yl group at position 4.	30747	CAS Registry Number	74-11-3
104	10577	gamma-terpinene	One of three isomeric monoterpenes differing in the positions of their two double bonds (alpha- and beta-terpinene being the others). In gamma-terpinene the double bonds are at the 1- and 4-positions of the p-menthane skeleton.	18250	KEGG COMPOUND accession	C00634
105	7565	nifedipine	a	2534	CAS Registry Number	77156-18-4
106	7573	nilutamide	a	2538	CAS Registry Number	34482-51-4
107	8613	psilocin	"A tryptamine alkaloid that is N,N-dimethyltryptamine carrying an additional hydroxy substituent at position 4. A hallucinogenic alkaloid isolated in trace amounts from Psilocybe mushrooms (also known as Teonanacatl or ""magic mushrooms"")."	2991	KEGG COMPOUND accession	C10305
108	9622	tolterodine	a	3286	KEGG COMPOUND accession	C08187
109	9635	toremifene	a	17395	KEGG COMPOUND accession	C01481
110	9654	trazodone	An N-arylpiperazine in which one nitrogen is substituted by a 3-chlorophenyl group, while the other is substituted by a 3-(3-oxo[1,2,4]triazolo[4,3-a]pyridin-2(3H)-yl)propyl group.	70034	KEGG COMPOUND accession	C10204
111	2755	anthragallol	A trihydroxyanthraquinone that is anthracene-9,10-dione substituted by hydroxy groups at positions 1, 2 and 3.	28646	KEGG COMPOUND accession	C08733
112	2972	baclofen	A monocarboxylic acid that is butanoic acid substituted by an amino group at position 4 and a 4-chlorophenyl group at position 3. It acts as a central nervous system depressant, GABA agonist and muscle relaxant.	17502	CAS Registry Number	151-00-8
113	6908	trichlorfon	A phosphonic ester that is dimethyl phosphonate in which the hydrogen atom attched to the phosphorous is substituted by a 2,2,2-trichloro-1-hydroxyethyl group.	15366	KEGG COMPOUND accession	C00033
114	3000	beauvericin	A trimeric cyclodepsipeptide composed from alternating methylphenylalanyl and hydroxyvaleryl residues.	27878	KEGG COMPOUND accession	C02227
115	3001	beclomethasone	A 17alpha-hydroxy steroid that is prednisolone in which the hydrogens at the 9alpha and 16beta positions are substituted by a chlorine and a methyl group, respectively.	27878	CAS Registry Number	91-59-8
116	3061	bepridil	A tertiary amine in which the substituents on nitrogen are benzyl, phenyl and 3-(2-methylpropoxy)-2-(pyrrolidin-1-yl)propyl.	18267	KEGG COMPOUND accession	C03586
117	4911	etoposide	a	1895	CAS Registry Number	589-18-4
118	4913	etretinate	a	17254	KEGG COMPOUND accession	C06730
119	5262	galangin	A 7-hydroxyflavonol with additional hydroxy groups at positions 3 and 5 respectively; a growth inhibitor of breast tumor cells.	15887	CAS Registry Number	660-88-8
120	9951	veratramine	A piperidine alkaloid comprising the 14,15,16,17-tetradehydro derivative of veratraman having two hydroxy groups at the 3- and 23-positions.	3414	CAS Registry Number	27025-49-6
121	7777	ophiobolin A	A sesterterpenoid that is ophiobolane with a hydroxy group at position 3, oxo groups at positions 5 and 25, double bonds at positions 7-8 and 19-20, and an oxygen link between positions 14 and 18.	2622	KEGG COMPOUND accession	C09767
122	7781	orientin	A C-glycosyl compound that is luteolin substituted by a beta-D-glucopyranosyl moiety at position 8.	2624	KEGG COMPOUND accession	C01552
123	4466	dexmedetomidine	a	28571	KEGG COMPOUND accession	C10256
124	4488	diallyl disulfide	An organic disulfide where the organic group specified is allyl. It has been isolated from garlic and other species of the genus Allium.	1751	KEGG COMPOUND accession	C11323
125	8357	pramocaine	A member of the class of morpholines that is morpholine substituted at the nitrogen atom by a 3-(4-butoxyphenoxy)propyl group.	2866	KEGG COMPOUND accession	C09836
126	11060	(S)-carnitine	The (S)-enantiomer of carnitine.	33907	KEGG COMPOUND accession	C05773
127	1784	biphenyl-4-amine	An aminobiphenyl that is biphenyl substituted by an amino group at position 4.	16147	KEGG COMPOUND accession	C04318
128	1883	4-hydroxystyrene	A member of the class of  phenols that is  styrene carrying a hydroxy substituent at position 4.	15628	KEGG COMPOUND accession	C05966
129	5530	gramicidin S	a	16290	KEGG COMPOUND accession	C05439
130	5613	haloperidol	A compound composed of a central piperidine structure with hydroxy and p-chlorophenyl substituents at position 4 and an N-linked p-fluorobutyrophenone moiety.	29022	CAS Registry Number	1214-39-7
131	5679	herniarin	A member of the class of coumarins that is coumarin substituted by a methoxy group at position 7.	15953	KEGG COMPOUND accession	C04584
132	6731	melezitose	A trisaccharide produced by insects such as aphids.	2366	KEGG COMPOUND accession	C09286
133	2512	agathisflavone	A biflavonoid that is obtained by oxidative coupling of two molecules of apigenin resulting in a bond between positions C-6 and C-8 of the two chromene rings.	1019	KEGG COMPOUND accession	C05683
134	2555	aldicarb	The oxime carbamate resulting from the addition of 2-methyl-2-(methylsulfanyl)propanaldoxime to methyl isocyanate. A member of the class of oxime carbamate insecticides, aldicarb is a mixture of E and Z isomers; it is not known which isomer is more active.	17605	KEGG COMPOUND accession	C03057
135	2668	amlodipine	A fully substituted dialkyl 1,4-dihydropyridine-3,5-dicarboxylate derivative, which is used for the treatment of hypertension, chronic stable angina and confirmed or suspected vasospastic angina.	28542	KEGG COMPOUND accession	C00672
136	3686	chrysophanol-9-anthrone	a	15851	KEGG COMPOUND accession	C03584
137	5383	glimepiride	a	2082	KEGG COMPOUND accession	C02951
138	9107	senecionine	A pyrrolizidine alkaloid isolated from the plant species of the genus Senecio.	3205	CAS Registry Number	82-95-1
139	100	(-)-medicarpin	The (-)-enantiomer of medicarpin.	28603	CAS Registry Number	7374-79-0
140	151	D-threo-isocitric acid	The D-threo-diastereomer of isocitric acid.	75	KEGG COMPOUND accession	C11358
141	2086	5-methoxy-N,N-dimethyltryptamine	A tryptamine alkaloid that is N,N-dimethyltryptamine substituted by a methoxy group at position 5.	16516	KEGG COMPOUND accession	C04283
142	2197	6-hydroxyluteolin	A pentahydroxyflavone that is luteolin with an additional hydroxy group at position 6.	18026	CAS Registry Number	303-38-8
143	3374	capsaicin	a	28074	KEGG COMPOUND accession	C00968
144	8066	phenindione	a	338412	CAS Registry Number	22862-76-6
145	8102	phenylmethanesulfonyl fluoride	An acyl fluoride with phenylmethanesulfonyl as the acyl group.	2755	CAS Registry Number	602-64-2
146	5106	flunisolide	a	18272	KEGG COMPOUND accession	C04376
147	10003	ribostamycin sulfate	An aminoglycoside sulfate salt resulting from the reaction of ribostamycin  with sulfuric acid.	3436	CAS Registry Number	15263-53-3
148	10112	zileuton	A member of the class of 1-benzothiophenes that is 1-benzothiophene in which the hydrogen at position 2 is replaced by a 1-[carbamoyl(hydroxy)amino]ethyl group. A selective 5-lipoxygenase inhibitor, it inhibits the formation of leukotrienes LTB4, LTC4, LDT4, and LTE4. It is used for the management of chronic asthma.	3484	KEGG COMPOUND accession	C11202
149	8925	ryanodine	An insecticide alkaloid isolated from South American plant Ryania speciosa.	17097	CAS Registry Number	92-52-4
150	955	2,6-dimethoxyphenol	A member of the class of phenols that is phenol substituted by methoxy groups at positions 2 and 6.	15453	KEGG COMPOUND accession	C01144
151	2340	docebenone	A member of the class of benzoquinones that is p-benzoquinone in which the hydrogens are substituted by three methyl groups and a 12-hydroxydodeca-5,10-diyn-1-yl group.	28435	KEGG COMPOUND accession	C10934
152	2367	abyssinone I	A monohydroxyflavanone that is (2S)-2',2'-dimethyl-2,3-dihydro-2'H,4H-2,6'-bichromen-4-one carrying a hydroxy substituent at position 7.	957	CAS Registry Number	606-20-2
153	2368	abyssinone V	A trihydroxyflavanone that is flavanone substituted by hydroxy groups at positions 5, 7 and 4' and prenyl groups at positions 3' and 5' respectively.	15707	KEGG COMPOUND accession	C03750
154	2401	acetophenazine	A member of the class of  phenothiazines that is 10H-phenothiazine substituted by a 3-[4-(2-hydroxyethyl)piperazin-1-yl]propyl group at the nitogen atom and an acetyl group at position 2.	17827	KEGG COMPOUND accession	C03920
155	2404	acetosyringone	A member of the class of  acetophenones that is 1-phenylethanone substituted by a hydroxy group at position 4 and methoxy groups at positions 3 and 5.	17506	KEGG COMPOUND accession	C04641
156	3219	bupropion	An aromatic ketone that is propiophenone carrying a tert-butylamino group at position 2 and a chloro substituent at position 3 on the phenyl ring.	32896	KEGG COMPOUND accession	C11536
157	7514	neostigmine	A  quaternary ammonium ion comprising an anilinium ion core having three methyl substituents on the aniline nitrogen, and a 3-[(dimethylcarbamoyl)oxy] substituent at position 3. It is a parasympathomimetic which acts as a reversible acetylcholinesterase inhibitor.	2512	CAS Registry Number	28441-98-7
158	2896	astemizole	A piperidine compound having a 2-(4-methoxyphenyl)ethyl group at the 1-position and an N-[(4-fluorobenzyl)benzimidazol-2-yl]amino group at the 4-position.	36491	KEGG COMPOUND accession	C11131
159	10125	zolpidem	An imidazo[1,2-a]pyridine compound having a 4-tolyl group at the 2-position, an N,N-dimethylcarbamoylmethyl group at the 3-position and a methyl substituent at the 6-position.	3490	CAS Registry Number	56796-39-5
160	7872	oxytocin	A cyclic nonapeptide hormone with amino acid sequence CYIQNCPLG that also acts as a neurotransmitter in the brain; the principal uterine-contracting and milk-ejecting hormone of the posterior pituitary. Together with the neuropeptide vasopressin, it is believed to influence social cognition and behaviour.	2654	KEGG COMPOUND accession	C07617
161	9729	trimethaphan camsylate	The (S)-camphorsulfonate salt of trimethaphan.	17793	KEGG COMPOUND accession	C01562
162	2654	aminoglutethimide	A dicarboximide that is a six-membered cyclic compound having ethyl and 4-aminophenyl substituents at the 3-position.	27972	KEGG COMPOUND accession	C06892
163	2950	azelastine	A phthalazine compound having an oxo substituent at the 1-position, a 1-methylazepan-4-yl group at the 2-position and a 4-chlorobenzyl substituent at the 4-position.	17059	KEGG COMPOUND accession	C02224
164	2904	atenolol	An ethanolamine compound having a (4-carbamoylmethylphenoxy)methyl group at the 1-position and an N-isopropyl substituent.	1189	KEGG COMPOUND accession	C05299
165	4776	ellipticine	A organic heterotetracyclic compound that is pyrido[4,3-b]carbazole carrying two methyl substituents at positions 5 and 11.	17602	CAS Registry Number	123-30-8
166	3481	cefamandole nafate	A cephalosporin prodrug having (R)-O-formylmandelamido and N-methylthiotetrazole side-groups.	16767	KEGG COMPOUND accession	C02791
167	7857	oxybutynin chloride	a	17628	KEGG COMPOUND accession	C06735
168	7863	oxymetazoline hydrochloride	A hydrochloride salt resulting from the reaction of equimolar quantities of oxymetazoline and hydrogen chloride. A direct-acting sympathomimetic with marked alpha-adrenergic activity, it is a vasoconstrictor that is used to relieve nasal congestion.	17906	CAS Registry Number	298-08-8
