name,value,disease,age,Gender,location,concentration,markerdb_id,method,id
Butyric acid,27,A.I.D.S.,Adult: >=18 yrs old,Both,Urine,0.18 (0.14-0.22) umol/mmol creatinine,90,"Stein, T. P., Koerner, B., Schluter, M. D., Leskiw, M. J., Gaprindachvilli, T., Richards, E. W., Cope, F. O. & Condolucci, D. Weight loss, the gut and the inflammatory response in aids patients. Cytokine 9, 143-147 (1997).",9071566.0
Butyric acid,6247,Ulcerative Colitis,Unknown,Unknown,Feces,0.0019 (4.5e-05-0.015) nmol/g wet feces,367353,,23867873.0
Butyric acid,196,Irritable Bowel Syndrome,Unknown,Unknown,Feces,0.0071 (0.00094-0.015) nmol/g wet feces,367353,,23867873.0
Butyric acid,99,Crohn's Disease,Infant: 1 wk-2 yrs old,Unknown,Feces,0.012 (0.00025-0.017) nmol/g wet feces,367353,,23867873.0
Acetic acid,281,Propionic Acidemia,Adult: >=18 yrs old,Both,Urine,20.2 (16.3-24.1) umol/mmol creatinine,367345,,19551947.0
Acetic acid,220,Maple Syrup Urine Disease,Adult: >=18 yrs old,Both,Urine,13.2 (7.7-18.7) umol/mmol creatinine,367345,,19551947.0
Acetic acid,44,Argininosuccinic Aciduria,Adult: >=18 yrs old,Both,Urine,54.1 (30.3-77.9) umol/mmol creatinine,367345,,19551947.0
Acetic acid,5988,Preeclampsia/Eclampsia,Adult: >=18 yrs old,Female,Blood,17.9 uM,367357,,22494326.0
Betaine,212,Lung Cancer,Adult: >=18 yrs old,Both,Urine,6.0 (0-16.0) umol/mmol creatinine,3,"Wishart, D. S., Knox, C., Guo, A. C., Eisner, R., Young, N., Gautam, B., Hau, D. D., Psychogios, N., Dong, E., Bouatra, S., Mandal, R., Sinelnikov, I., Xia, J., Jia, L., Cruz, J. A., Lim, E., Sobsey, C. A., Shrivastava, S., Huang, P., Liu, P., Fang, L., Peng, J., Fradette, R., Cheng, D., Tzur, D., Clements, M., Lewis, A., De Souza, A., Zuniga, A., Dawe, M., Xiong, Y., Clive, D., Greiner, R., Nazyrova, A., Shaykhutdinov, R., Li, L., Vogel, H. J. & Forsythe, I. HMDB: a knowledgebase for the human metabolome. Nucleic Acids Res 37, D603-D610 (2009).",18953024.0
Betaine,44,Argininosuccinic Aciduria,Adult: >=18 yrs old,Both,Urine,210.1 (193.7-226.5) umol/mmol creatinine,367345,,19551947.0
Betaine,5988,Preeclampsia/Eclampsia,Adult: >=18 yrs old,Female,Blood,29.2 uM,367357,,22494326.0
Betaine,264,Peritoneal Dialysis,Adult: >=18 yrs old,Both,Blood,25.6 (23.4-36.6) uM,519,"McGregor, D. O., Dellow, W. J., Lever, M., George, P. M., Robson, R. A. & Chambers, S. T. Dimethylglycine accumulates in uremia and predicts elevated plasma homocysteine concentrations. Kidney Int 59, 2267-2272 (2001).",11380830.0
Betaine,161,Hemodialysis,Adult: >=18 yrs old,Both,Blood,31.9 (28.3-36.2) uM,519,"McGregor, D. O., Dellow, W. J., Lever, M., George, P. M., Robson, R. A. & Chambers, S. T. Dimethylglycine accumulates in uremia and predicts elevated plasma homocysteine concentrations. Kidney Int 59, 2267-2272 (2001).",11380830.0
Betaine,83,Chronic Kidney Disease,Adult: >=18 yrs old,Both,Blood,32.5 (23.9-42.5) uM,519,"McGregor, D. O., Dellow, W. J., Lever, M., George, P. M., Robson, R. A. & Chambers, S. T. Dimethylglycine accumulates in uremia and predicts elevated plasma homocysteine concentrations. Kidney Int 59, 2267-2272 (2001).",11380830.0
Betaine,133,Schizophrenia,Adult: >=18 yrs old,Both,Blood,43.0 (30.7-55.3) uM,366669,,24713860.0
Ascorbic acid,222,Meningitis,Adult: >=18 yrs old,Both,Cerebrospinal_Fluid,11.9 (0-24.0) uM,1304,"Kastenbauer, S., Koedel, U., Becker, B. F. & Pfister, H. W. Oxidative stress in bacterial meningitis in humans. Neurology 58, 186-191 (2002).",11805243.0
Ascorbic acid,180,Hyperoxalemia,Adult: >=18 yrs old,Both,Blood,6.5 (0-25.1) uM,954,"Ogawa, Y., Machida, N., Jahana, M., Gakiya, M., Chinen, Y., Oda, M., Morozumi, M. & Sugaya, K. Major factors modulating the serum oxalic acid level in hemodialysis patients. Front Biosci 9, 2901-2908 (2004).",15353324.0
Adenosine,23,Adenylosuccinate Lyase Deficiency,Infant: 1 wk-2 yrs old,Both,Urine,6.8 (6.3-7.2) umol/mmol creatinine,366678,,27504266.0
Adenosine,303,Sepsis,Adult: >=18 yrs old,Both,Blood,0.13 (0.11-0.14) uM,715,"Kaufmann, I., Hoelzl, A., Schliephake, F., Hummel, T., Chouker, A., Lysenko, L., Peter, K. & Thiel, M. Effects of adenosine on functions of polymorphonuclear leukocytes from patients with septic shock. Shock 27, 25-31 (2007).",17172976.0
Ammonia,2402,Adult Onset Type II Citrullinemia,Adult: >=18 yrs old,Both,Blood,7.9 (1.7-14.0) uM,336284,"Komatsu, M., Yazaki, M., Tanaka, N., Sano, K., Hashimoto, E., Takei, Y., Song, Y. Z., Tanaka, E., Kiyosawa, K., Saheki, T., Aoyama, T. & Kobayashi, K. Citrin deficiency as a cause of chronic liver disorder mimicking non-alcoholic fatty liver disease. J Hepatol 49, 810-820 (2008).",18620775.0
Ammonia,1359,N Acetylglutamate Synthase Deficiency,Children: 2-17 yrs old,Male,Blood,136.5 (27.0-246.0) uM,366684,,2044610.0
Ammonia,316,Sulfite Oxidase Deficiency,Infant: 1 wk-2 yrs old,Male,Blood,49.0 uM,367202,"Clinical and Laboratory Barriers to the Timely Diagnosis of Sulphite Oxidase Deficiency. Proceedings of Singapore Healthcare, 19(2), 94-100.",
Ammonia,4281,3 Hydroxyacyl Co A Dehydrogenase Deficiency,Infant: 1 wk-2 yrs old,Male,Blood,64.0 (44.0-84.0) uM,366617,,23430856.0
Ammonia,1624,Pyruvate Carboxylase Deficiency,Infant: 1 wk-2 yrs old,Unknown,Blood,268.0 uM,366626,,28649521.0
Ammonia,1195,Classic Citrullinemia,Children: 2-17 yrs old,Both,Blood,299.8 (27.0-572.5) uM,366687,,28132756.0
Ammonia,1506,Carnitine Palmitoyltransferase I Deficiency,Children: 2-17 yrs old,Female,Blood,234.0 uM,367347,,11286380.0
Ammonia,44,Argininosuccinic Aciduria,Infant: 1 wk-2 yrs old,Male,Blood,62.0 uM,117268,"Kleijer, W. J., Garritsen, V. H., Linnebank, M., Mooyer, P., Huijmans, J. G., Mustonen, A., Simola, K. O., Arslan-Kirchner, M., Battini, R., Briones, P., Cardo, E., Mandel, H., Tschiedel, E., Wanders, R. J. & Koch, H. G. Clinical, enzymatic, and molecular genetic characterization of a biochemical variant type of argininosuccinic aciduria: prenatal and postnatal diagnosis in five unrelated families. J Inherit Metab Dis 25, 399-410 (2002).",12408190.0
Argininosuccinic acid,44,Argininosuccinic Aciduria,Infant: 1 wk-2 yrs old,Male,Urine,667.0 umol/mmol creatinine,117268,"Kleijer, W. J., Garritsen, V. H., Linnebank, M., Mooyer, P., Huijmans, J. G., Mustonen, A., Simola, K. O., Arslan-Kirchner, M., Battini, R., Briones, P., Cardo, E., Mandel, H., Tschiedel, E., Wanders, R. J. & Koch, H. G. Clinical, enzymatic, and molecular genetic characterization of a biochemical variant type of argininosuccinic aciduria: prenatal and postnatal diagnosis in five unrelated families. J Inherit Metab Dis 25, 399-410 (2002).",12408190.0
Argininosuccinic acid,44,Argininosuccinic Aciduria,Infant: 1 wk-2 yrs old,Male,Blood,1.5e+03 uM,117268,"Kleijer, W. J., Garritsen, V. H., Linnebank, M., Mooyer, P., Huijmans, J. G., Mustonen, A., Simola, K. O., Arslan-Kirchner, M., Battini, R., Briones, P., Cardo, E., Mandel, H., Tschiedel, E., Wanders, R. J. & Koch, H. G. Clinical, enzymatic, and molecular genetic characterization of a biochemical variant type of argininosuccinic aciduria: prenatal and postnatal diagnosis in five unrelated families. J Inherit Metab Dis 25, 399-410 (2002).",12408190.0
Androstenedione,295,Rheumatoid Arthritis,Adult: >=18 yrs old,Both,Urine,0.0017 (0.0014-0.0020) umol/mmol creatinine,1680,"Straub, R. H., Weidler, C., Demmel, B., Herrmann, M., Kees, F., Schmidt, M., Scholmerich, J. & Schedel, J. Renal clearance and daily excretion of cortisol and adrenal androgens in patients with rheumatoid arthritis and systemic lupus erythematosus. Ann Rheum Dis 63, 961-968 (2004).",15249323.0
Androstenedione,2,11 Beta Hydroxylase Deficiency,Newborn: 0 day-1 wk,Female,Blood,0.12 uM,366635,,8933406.0
Androstenedione,4299,"Congenital Adrenal Insufficiency with 46,XY Sex Reversal",Newborn: 0 day-1 wk,Female,Blood,0.00087 uM,198860,"Kim, C. J., Lin, L., Huang, N., Quigley, C. A., AvRuskin, T. W., Achermann, J. C. & Miller, W. L. Severe combined adrenal and gonadal deficiency caused by novel mutations in the cholesterol side chain cleavage enzyme, P450scc. J Clin Endocrinol Metab 93, 696-702 (2008).",18182448.0
Androstenedione,269,Polycystic Ovary Syndrome,Adult: >=18 yrs old,Female,Blood,0.0066 (0.0028-0.010) uM,1548,"Berria, R., Gastaldelli, A., Lucidi, S., Belfort, R., De Filippis, E., Easton, C., Brytzki, R., Cusi, K., Jovanovic, L. & DeFronzo, R. Reduction in hematocrit level after pioglitazone treatment is correlated with decreased plasma free testosterone level, not hemodilution, in women with polycystic ovary syndrome. Clin Pharmacol Ther 80, 105-114 (2006).",16890572.0
Androstenedione,1085,Lipoid Congenital Adrenal Hyperplasia,Adult: >=18 yrs old,Female,Blood,3.0e-05 (-0.0039-3.0e-05) uM,367338,,9077535.0
Androstenedione,4,Congenital Adrenal Hyperplasia,Infant: 1 wk-2 yrs old,Both,Blood,0.52 uM,366688,,19390483.0
Bilirubin,74,Cerebral Vasospasm,Adult: >=18 yrs old,Both,Cerebrospinal_Fluid,17.3 (4.9-29.7) uM,505,"Pyne-Geithman, G. J., Morgan, C. J., Wagner, K., Dulaney, E. M., Carrozzella, J., Kanter, D. S., Zuccarello, M. & Clark, J. F. Bilirubin production and oxidation in CSF of patients with cerebral vasospasm after subarachnoid hemorrhage. J Cereb Blood Flow Metab 25, 1070-1077 (2005).",15789034.0
Bilirubin,2785,Lathosterolosis,Newborn: 0 day-1 wk,Male,Blood,29.6 uM,121863,"Brunetti-Pierri, N., Corso, G., Rossi, M., Ferrari, P., Balli, F., Rivasi, F., Annunziata, I., Ballabio, A., Russo, A. D., Andria, G. & Parenti, G. Lathosterolosis, a novel multiple-malformation/mental retardation syndrome due to deficiency of 3beta-hydroxysteroid-delta5-desaturase. Am J Hum Genet 71, 952-958 (2002).",12189593.0
Bilirubin,1416,Lecithin:Cholesterol Acyltransferase Deficiency,Adult: >=18 yrs old,Female,Blood,24.5 uM,278646,"Idzior-Walus, B., Sieradzki, J., Kostner, G., Malecki, M. T., Klupa, T., Wesolowska, T., Rostworowski, W., Hartwich, J., Walus, M., Kiec, A. D. & Naruszewicz, M. Familial lecithin-cholesterol acyltransferase deficiency: biochemical characteristics and molecular analysis of a new LCAT mutation in a Polish family. Atherosclerosis 185, 413-420 (2006).",16051254.0
Bilirubin,6280,Glucose 6 Phosphate Dehydrogenase Deficiency,Newborn: 0 day-1 wk,Both,Blood,380.7 (237.7-523.7) uM,366693,,14703221.0
Bilirubin,1213,Crigler Najjar Syndrome,Children: 2-17 yrs old,Both,Blood,573.0 (291.0-855.0) uM,367339,MetaGene: Metabolic & Genetic Information Center ,
Bilirubin,155,Growth Hormone Deficiency,Adult: >=18 yrs old,Both,Blood,14.6 (12.1-17.1) uM,928,"Darzy, K. H., Murray, R. D., Gleeson, H. K., Pezzoli, S. S., Thorner, M. O. & Shalet, S. M. The impact of short-term fasting on the dynamics of 24-hour growth hormone (GH) secretion in patients with severe radiation-induced GH deficiency. J Clin Endocrinol Metab 91, 987-994 (2006).",16384844.0
Bilirubin,1417,Donohue Syndrome,Newborn: 0 day-1 wk,Male,Blood,78.7 uM,367341,,26871809.0
Bilirubin,2864,Congenital Bile Acid Synthesis Defect,Infant: 1 wk-2 yrs old,Female,Blood,106.0 uM,367340,,26712441.0
Bilirubin,1158,Progressive Familial Intrahepatic Cholestasis,Adult: >=18 yrs old,Male,Blood,268.5 (18.8-518.2) uM,366694,,15448432.0
Bilirubin,1248,Dyserythropoietic Congenital Anemia Type II,Adult: >=18 yrs old,Both,Blood,52.2 (25.7-78.7) uM,331918,"Bianchi, P., Fermo, E., Vercellati, C., Boschetti, C., Barcellini, W., Iurlo, A., Marcello, A. P., Righetti, P. G. & Zanella, A. Congenital dyserythropoietic anemia type II (CDAII) is caused by mutations in the SEC23B gene. Hum Mutat 30, 1292-1298 (2009).",19621418.0
Bilirubin,1195,Classic Citrullinemia,Newborn: 0 day-1 wk,Both,Blood,71.0 (41.0-101.0) uM,336299,"Ohura, T., Kobayashi, K., Tazawa, Y., Nishi, I., Abukawa, D., Sakamoto, O., Iinuma, K. & Saheki, T. Neonatal presentation of adult-onset type II citrullinemia. Hum Genet 108, 87-90 (2001).",11281457.0
Beta-Alanine,114,Dihydropyrimidinase Deficiency,Adult: >=18 yrs old,Both,Urine,1.4 (0-2.8) umol/mmol creatinine,699,"Van Kuilenburg, A. B., Stroomer, A. E., Van Lenthe, H., Abeling, N. G. & Van Gennip, A. H. New insights in dihydropyrimidine dehydrogenase deficiency: a pivotal role for beta-aminoisobutyric acid? Biochem J 379, 119-124 (2004).",14705962.0
Beta-Alanine,4050,GABA-Transaminase Deficiency,Children: 2-17 yrs old,Both,Urine,1.1 (0-2.3) umol/mmol creatinine,367339,MetaGene: Metabolic & Genetic Information Center ,
Beta-Alanine,557,Lewy Body Dementia,Adult: >=18 yrs old,Both,Saliva,2.0 (1.2-2.9) uM,366614,,23857558.0
Beta-Alanine,33,Alzheimer's Disease,Adult: >=18 yrs old,Male,Saliva,2.8 (1.4-4.3) uM,366614,,23857558.0
Cyclic AMP,222,Meningitis,Adult: >=18 yrs old,Unknown,Cerebrospinal_Fluid,0.033 (0.021-0.045) uM,1099,"Lerche, A., Svenson, M. & Wiik, A. Cerebrospinal fluid levels of cyclic nucleotides in meningitis and idiopathic polyneuritis. Acta Neurol Scand 69, 168-175 (1984).",6326460.0
Acetoacetic acid,201,Ketosis,Newborn: 0 day-1 wk,Both,Urine,0.080 (0-1.5) umol/mmol creatinine,367207,"Physician's Guide to the Laboratory Diagnosis of Metabolic Diseases. 2nd ed. Berlin, Germany, Springer, 2003",
