abbreviation_metabolite,casregistry_metabolite,cheblid_metabolite,description_metabolite,fullname_metabolite,hmdb_metabolite,inchikey_metabolite,inchistring_metabolite,keggid_metabolite,biocyc_metabolite,food_db_metabolite,reconmap3_metabolite,smile_metabolite,inchiKey_metabolite,inchiString_metabolite
10mtundec2eACP,,,,10-methyl-trans-undec-2-enoyl-ACP,,,,,,,,,,
10mundecACP,,,,10-methyl-undecanoyl-ACP,,,,,,,,,,
11_cis_retfa,,,,Fatty Acid 11-Cis-Retinol,,,,,,,11_cis_retfa,,,
11docrtsl,152-58-9,,"Human Metabolome Database (HMDB): Cortexolone is also known as 11-Deoxy-17-hydroxy-corticosterone or 11-Deoxy-cortisol.  Cortexolone is considered to be practically insoluble (in water) and relatively neutral.  Cortexolone can be found throughout all human tissues; and in blood and urine. Cortexolone can be found throughout a human cell. Cortexolone is found in eukaryotic species, from E.coli to Humans",Cortexolone,HMDB0000015,,,C05488,11-DEOXY-CORTISOL,FDB021872,11docrtsl,[H]OC([H])([H])C(=O)[C@@]1(O[H])C([H])([H])C([H])([H])[C@@]2([H])[C@]3([H])C([H])([H])C([H])([H])C4=C([H])C(=O)C([H])([H])C([H])([H])[C@]4(C([H])([H])[H])[C@@]3([H])C([H])([H])C([H])([H])[C@]12C([H])([H])[H],WHBHBVVOGNECLV-OBQKJFGGSA-N,"InChI=1S/C21H30O4/c1-19-8-5-14(23)11-13(19)3-4-15-16(19)6-9-20(2)17(15)7-10-21(20,25)18(24)12-22/h11,15-17,22,25H,3-10,12H2,1-2H3/t15-,16+,17+,19+,20+,21+/m1/s1"
11docrtstrn,64-85-7,16973,"Human Metabolome Database (HMDB): 11-Deoxycorticosterone (also called desoxycortone, 21-hydroxyprogesterone, DOC, or simply deoxycorticosterone) is a steroid hormone produced by the adrenal gland that possesses mineralocorticoid activity and acts as a precursor to aldosterone. It is classified as a member of the 21-hydroxysteroids. 21-hydroxysteroids are steroids carrying a hydroxyl group at the 21-position of the steroid backbone. Deoxycorticosterone is very hydrophobic, practically insoluble (in water), and relatively neutral. Deoxycorticosterone can be synthesized from progesterone by 21-beta-hydroxylase and is then converted to corticosterone by 11-beta-hydroxylase. Corticosterone is then converted to aldosterone by aldosterone synthase. Deoxycorticosterone stimulates the collecting tubules in the kidney to continue to excrete potassium in much the same way that aldosterone does. Deoxycorticosterone has about 1/20 of the sodium retaining power of aldosterone and about 1/5 the potassium excreting power of aldosterone (Wikipedia). Deoxycorticosterone can be found throughout all human tissues and has been detected in amniotic fluid and blood. When present in sufficiently high levels, deoxycorticosterone can act as a hypertensive agent and a metabotoxin. A hypertensive agent increases blood pressure and causes the production of more urine. A metabotoxin is an endogenously produced metabolite that causes adverse health effects at chronically high levels.  Chronically high levels of deoxycorticosterone are associated with congenital adrenal hyperplasia (CAH) and with adrenal tumors producing deoxycorticosterone (PMID: 20671982). High levels of this mineralocorticoid are associated with resistant hypertension, which can result in polyuria, polydipsia, increased blood volume, edema, and cardiac enlargement. Deoxycorticosterone can be used to treat adrenal insufficiency. In particular, desoxycorticosterone acetate (DOCA) is used as replacement therapy in Addison's disease.",Deoxycorticosterone,HMDB0000016,,,C03205,11-DEOXYCORTICOSTERONE,FDB021873,11docrtstrn,[H]OC([H])([H])C(=O)[C@@]1([H])C([H])([H])C([H])([H])[C@@]2([H])[C@]3([H])C([H])([H])C([H])([H])C4=C([H])C(=O)C([H])([H])C([H])([H])[C@]4(C([H])([H])[H])[C@@]3([H])C([H])([H])C([H])([H])[C@]12C([H])([H])[H],ZESRJSPZRDMNHY-YFWFAHHUSA-N,"InChI=1S/C21H30O3/c1-20-9-7-14(23)11-13(20)3-4-15-16-5-6-18(19(24)12-22)21(16,2)10-8-17(15)20/h11,15-18,22H,3-10,12H2,1-2H3/t15-,16-,17-,18+,20-,21-/m0/s1"
11m3hddcaACP,,,,11-methyl-3-hydroxy-dodecanoyl-ACP,,,,,,,,,,
11m3oddcaACP,,,,11-methyl-3-oxo-dodecanoyl-ACP,,,,,,,,,,
11mddcaACP,,,,11-methyl-dodecanoyl-ACP,,,,,,,,,,
11mtddec2eACP,,,,11-methyl-trans-dodec-2-enoyl-ACP,,,,,,,,,,
12daihdglyc,,,,"1,2-Dianteisoheptadecanoyl-sn-glycerol",,,,,,,,,,
12daipdglyc,,,,"1,2-Dianteisopentadecanoyl-sn-glycerol",,,,,,,,,,
12dgr120,,,,"1,2-Diacyl-Sn-Glycerol (Didodecanoyl, N-C12:0)",,,,,,,12dgr120,[H]OC([H])([H])C([H])(OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],OQQOAWVKVDAJOI-UHFFFAOYSA-N,"InChI=1S/C27H52O5/c1-3-5-7-9-11-13-15-17-19-21-26(29)31-24-25(23-28)32-27(30)22-20-18-16-14-12-10-8-6-4-2/h25,28H,3-24H2,1-2H3"
12dgr140,,,,"1,2-Diacyl-sn-glycerol (ditetradecanoyl, n-C14:0)",,,,,,,,,,
12dgr141,,,,"1,2-Diacyl-sn-glycerol (ditetradec-7-enoyl, n-C14:1)",,,,,,,,,,
12dgr160,,,,"1,2-Diacyl-sn-glycerol (dihexadecanoyl, n-C16:0)",,,,,,,,,,
12dgr161,,,,"1,2-Diacyl-sn-glycerol (dihexadec-9-enoyl, n-C16:1)",,,,,,,,,,
12dgr180,,,,"1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)",,,,,,,,,,
12dgr181,,,,"1,2-Diacyl-sn-glycerol (dioctadec-11-enoyl, n-C18:1)",,,,,,,,,,
12dhchol,,,,"12-Dehydrocholic acid; 12-Oxodeoxycholic acid; 12oxo-3alpha,7alpha-Dihydroxy-5beta-cholan-24-oic acid",,,,,,,12dhchol,,,
12dihdglyc,,,,"1,2-Diisoheptadecanoyl-sn-glycerol",,,,,,,,,,
12dipdglyc,,,,"1,2-Diisopentadecanoyl-sn-glycerol",,,,,,,,,,
12ditdglyc,,,,"1,2-Diisotetradecanoyl-sn-glycerol",,,,,,,,,,
12dixdglyc,,,,"1,2-Diisohexadecanoyl-sn-glycerol",,,,,,,,,,
12ethd,,,"Human Metabolome Database (HMDB): Polyethylene glycol (PEG) is a polyether compound with many applications from industrial manufacturing to medicine. PEG is also known as polyethylene oxide (PEO) or polyoxyethylene (POE), depending on its molecular weight. PEG, PEO, or POE refers to an oligomer or polymer of ethylene oxide. Polyethylene glycol is produced by the interaction of ethylene oxide with water, ethylene glycol, or ethylene glycol oligomers. PEG is the basis of a number of laxatives (e.g. macrogol-containing products such as Movicol and polyethylene glycol 3350, or SoftLax, MiraLAX, or GlycoLax). Whole bowel irrigation with polyethylene glycol and added electrolytes is used for bowel preparation before surgery or colonoscopy. PEG is used as an excipient in many pharmaceutical products. Lower-molecular-weight variants are used as solvents in oral liquids and soft capsules, whereas solid variants are used as ointment bases, tablet binders, film coatings, and lubricants (Wikipedia). It has been shown that polyethylene glycol can improve healing of spinal injuries in dogs. Earlier findings that polyethylene glycol can aid in nerve repair came from the University of Texas (Krause and Bittner). Polyethylene glycol is commonly used to fuse B-cells with myeloma cells in monoclonal antibody production. PEG has recently been proven to give better results in constipation patients than tegaserod. Since PEG is a flexible, water-soluble polymer, it can be used to create very high osmotic pressures (tens of atmospheres). It also is unlikely to have specific interactions with biological chemicals. These properties make PEG one of the most useful molecules for applying osmotic pressure in biochemistry experiments, particularly when using the osmotic stress technique. Polyethylene glycol has been shown to exhibit excitant, anesthetic, radical scavenger, anti-microbial, and laxative functions (PMID: 10726226, 9485637, 11179847, 19089178, 20011352).","1,2-Ethanediol",HMDB0037790,,,,,,,,,
12harachd,71030-37-0,,"Human Metabolome Database (HMDB): 12-hydroxyeicosatetraenoic acid (12-HETE) is an eicosanoid, a 5-lipoxygenase metabolite of arachidonic acid. 5-Lipoxygenase (LO)-derived leukotrienes are involved in inflammatory glomerular injury. LO product 12-HETE is associated with pathogenesis of hypertension, and may mediate angiotensin II and TGFbeta induced mesengial cell abnormality in diabetic nephropathy. 12-HETE is markedly elevated in the psoriatic lesions. 12-HETE is a vasoconstrictor eicosanoid that contribute to high blood pressure in (renovascular) hypertension and pregnancy-induced hypertension. A significant percentage of patients suffering from a selective increase in plasma LDL cholesterol (type IIa hyperlipoproteinaemia) exhibits increased platelet reactivity. This includes enhanced platelet responsiveness against a variety of platelet-stimulating agents ex vivo and enhanced arachidonic acid metabolism associated with increased generation of arachidonic acid metabolites such as 12-HETE, and secretion of platelet-storage products (PMID: 7562532, 12480795, 17361113, 8498970,1333255, 2119633). 12-HETE is a highly selective ligand used to label mu-opioid receptors in both membranes and tissue sections. The 12-s-HETE analog has been reported to augment tumour cell metastatic potential through activation of protein kinase c. 12-HETE can be formed either in the 12-S or 12-R configuration. It has a diversity of biological actions and is generated by a number of tissues including the renal glomerulus and the vasculature. 12-HETE is one of the six monohydroxy fatty acids produced by the non-enzymatic oxidation of arachidonic acid. 12-HETE is a neuromodulator that is synthesized during ischemia. Its neuronal effects include attenuation of calcium influx and glutamate release as well as inhibition of AMPA receptor (AMPA-R) activation. 12-HETE is found to be associated with peroxisomal biogenesis defect and Zellweger syndrome, which are inborn errors of metabolism.",12-HETE,HMDB0006111,,,,,FDB001435,12harachd,[H]OC([H])(C(\[H])=C(\[H])/C(/[H])=C(/[H])C([H])([H])C(\[H])=C(/[H])C([H])([H])C([H])([H])C([H])([H])C([O-])=O)C([H])([H])C(\[H])=C(\[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],ZNHVWPKMFKADKW-FUOBAMOMSA-M,"InChI=1S/C20H32O3/c1-2-3-4-5-10-13-16-19(21)17-14-11-8-6-7-9-12-15-18-20(22)23/h7-11,13-14,17,19,21H,2-6,12,15-16,18H2,1H3,(H,22,23)/p-1/b9-7+,11-8?,13-10-,17-14?"
12HPET,71774-10-2,15626,"Human Metabolome Database (HMDB): 12-HPETE is one of the six monohydroperoxy fatty acids produced by the non-enzymatic oxidation of arachidonic acid (Leukotrienes). Reduction of the hydroperoxide yields the more stable hydroxyl fatty acid (+/-)12-HETE. A family of biologically active compounds derived from arachidonic acid by oxidative metabolism through the 5-lipoxygenase pathway. They participate in host defense reactions and pathophysiological conditions such as immediate hypersensitivity and inflammation. They have potent actions on many essential organs and systems, including the cardiovascular, pulmonary, and central nervous system as well as the gastrointestinal tract and the immune system.",12(S)-HPETE,HMDB0004243,,,C05965,,FDB023348,12HPET,[H]OO[C@]([H])(C([H])=C([H])C([H])=C([H])C([H])([H])C([H])=C([H])C([H])([H])C([H])([H])C([H])([H])C([O-])=O)C([H])([H])C([H])=C([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],ZIOZYRSDNLNNNJ-APFHZBIOSA-M,"InChI=1S/C20H32O4/c1-2-3-4-5-10-13-16-19(24-23)17-14-11-8-6-7-9-12-15-18-20(21)22/h7-11,13-14,17,19,23H,2-6,12,15-16,18H2,1H3,(H,21,22)/p-1/b9-7-,11-8-,13-10-,17-14?/t19-/m0/s1"
12htacr,,,,"12-HT or M-VI, 12-Hydroxy Tacrolimus",,,,,,,,,,
12m3hmyrsACP,,,,12-methyl-3-hydroxy-tetra-decanoyl-ACP,,,,,,,,,,
12m3htridecACP,,,,12-methyl-3-hydroxy-tridecanoyl-ACP,,,,,,,,,,
12m3omyrsACP,,,,12-methyl-3-oxo-tetra-decanoyl-ACP,,,,,,,,,,
12m3otridecACP,,,,12-methyl-3-oxo-tridecanoyl-ACP,,,,,,,,,,
12mmyrsACP,,,,12-methyl-tetra-decanoyl-ACP,,,,,,,,,,
12mtmrs2eACP,,,,12-methyl-trans-tetra-dec-2-enoyl-ACP,,,,,,,,,,
12mtridecACP,,,,12-methyl-tridecanoyl-ACP,,,,,,,,,,
12mttritec2eACP,,,,12-methyl-trans-tridec-2-enoyl-ACP,,,,,,,,,,
12npthldl,,,,"1,2-Naphthalenediol",HMDB0060497,,,,,,,,,
12ppd_R,57-55-6,16997,"Human Metabolome Database (HMDB): Propylene glycol (1,2-propanediol) is an organic compound (a diol alcohol), usually a tasteless, odorless, and colorless clear oily liquid that is hygroscopic and miscible with water, acetone, and chloroform. It is manufactured by the hydration of propylene oxide. Propylene glycol is used as a solvent for intravenous, oral, and topical pharmaceutical preparations It is generally considered safe. However in large doses it can be toxic, especially if given over a short period of time. Intravenous lorazepam contains the largest amount of propylene glycol of commonly used drugs. In adults with normal liver and kidney function, the terminal half-life of propylene glycol ranges from 1.4 to 3.3 hours. Propylene glycol is metabolized by the liver to form lactate, acetate, and pyruvate. The nonmetabolized drug is excreted in the urine mainly as the glucuronide conjugate, approximately 12 to 45 percent is excreted unchanged in urine. Renal clearance decreases as the dose administered increases (390 ml/minute/173 m2 at a dose of 5 g/day but only 144 ml/minute/173 m2 at a dose of 21 g/day). These data suggest that renal clearance declines at higher propylene glycol doses because of saturation of proximal tubular secretion of the drug. As an acceptable level of propylene glycol has not been defined, the clinical implication of a propylene glycol level is unclear. The World Health Organization (WHO) recommends a maximum consumption of 25 mg/kg/day (1.8 g/day for a 75 kg male) of propylene glycol when used as a food additive, but this limit does not address its use as a drug solvent. No maximum dose is recommended in the literature for intravenous therapy with propylene glycol. Intoxication occurs at much higher doses than the WHO dose limit and is exclusive to pharmacologic exposure. Propylene glycol toxicity includes development of serum hyperosmolality, lactic acidosis, and kidney failure. It has been suggested that proximal tubular necrosis is the cause of acute kidney injury from propylene glycol. Along these lines, proximal tubular cell injury occurs in cultured human cells exposed to propylene glycol. Acute tubular necrosis was described with propylene glycol toxicity in a case of concomitant administration of intravenous lorazepam and trimethoprim sulfamethoxazole. Propylene glycol induced intoxication can also mimic sepsis or systemic inflammatory response syndrome (SIRS). Patients suspected of having sepsis with negative cultures should be evaluated for propylene glycol toxicity if they have been exposed to high dose lorazepam or other medications containing this solvent. (PMID: 17555487).",Propylene glycol,HMDB0001881,,,C00583,"PROPANE-1,2-DIOL",FDB008274,12ppd_R,[H]OC([H])([H])C([H])(O[H])C([H])([H])[H],DNIAPMSPPWPWGF-UHFFFAOYSA-N,"InChI=1S/C3H8O2/c1-3(5)2-4/h3-5H,2H2,1H3"
12ppd_S,4254-15-3,29002,"Human Metabolome Database (HMDB): (S)-Propane-1,2-diol is a clear, colorless, viscous organic solvent and diluent used in pharmaceutical preparations.","(S)-Propane-1,2-diol",HMDB0006213,,,C02917,--TRANS-ACENAPHTHENE-12-DIOL,FDB023838,12ppd_S,[H]OC([H])([H])[C@@]([H])(O[H])C([H])([H])[H],DNIAPMSPPWPWGF-VKHMYHEASA-N,"InChI=1S/C3H8O2/c1-3(5)2-4/h3-5H,2H2,1H3/t3-/m0/s1"
12RHPET,,,,12R-Hydroperoxyeicosatetraenoate,HMDB06222,,,,,,,[H]OO[C@@]([H])(C([H])=C([H])C([H])=C([H])C([H])([H])C([H])=C([H])C([H])([H])C([H])([H])C([H])([H])C([O-])=O)C([H])([H])C([H])=C([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],ZIOZYRSDNLNNNJ-AUXIVJNKSA-M,"InChI=1S/C20H32O4/c1-2-3-4-5-10-13-16-19(24-23)17-14-11-8-6-7-9-12-15-18-20(21)22/h7-11,13-14,17,19,23H,2-6,12,15-16,18H2,1H3,(H,21,22)/p-1/b9-7-,11-8-,13-10-,17-14?/t19-/m1/s1"
13_cis_oretn,,,,13-Cis-Oxo-Retinoic Acid,,,,,,,13_cis_oretn,[H]/C(=C(/[H])\C(=C(\[H])C([O-])=O)\C([H])([H])[H])/C(/[H])=C(/C(/[H])=C(\[H])C1=C(C(=O)C([H])([H])C([H])([H])C1(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H])\C([H])([H])[H],GGCUJPCCTQNTJF-FAOQNJJDSA-M,"InChI=1S/C20H26O3/c1-14(7-6-8-15(2)13-19(22)23)9-10-17-16(3)18(21)11-12-20(17,4)5/h6-10,13H,11-12H2,1-5H3,(H,22,23)/p-1/b8-6+,10-9+,14-7+,15-13-"
13_cis_retn,4759-48-2,6067,"Human Metabolome Database (HMDB): 13-cis-Retinoic acid is a topical dermatologic agent that is used in the treatment of acne vulgaris and several other skin diseases. The drug has teratogenic and other adverse effects. (PubChem). 13-cis-retinoic acid is also a naturally occurring retinoid that is present in the circulation. Although 13-cis-retinoic acid (isotretinoin) does not have the potent gene regulatory activity of other isomers, it is an effective pharmacologic agent for treating a variety of dermatologic conditions. (PMID: 11606944). The steric conversion of 13-cis-retinoic acid (13-cRA) to all-trans-retinoic acid (t-RA) has been proposed as an activation mechanism for the observed therapeutic and teratogenic activities of 13-cRA. (PMID: 9806904). 13-cis retinoic acid exerts its specific activity on human sebocytes through selective intracellular isomerization to all-trans retinoic acid and binding to retinoid acid receptors. (PMID: 10951254).",13-cis-Retinoic acid,HMDB0006219,,,D00348,,FDB023843,13_cis_retn,[H]/C(=C(/[H])\C(=C(\[H])C([O-])=O)\C([H])([H])[H])/C(/[H])=C(/C(/[H])=C(\[H])C1=C(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C1(C([H])([H])[H])C([H])([H])[H])\C([H])([H])[H],SHGAZHPCJJPHSC-XFYACQKRSA-M,"InChI=1S/C20H28O2/c1-15(8-6-9-16(2)14-19(21)22)11-12-18-17(3)10-7-13-20(18,4)5/h6,8-9,11-12,14H,7,10,13H2,1-5H3,(H,21,22)/p-1/b9-6+,12-11+,15-8+,16-14-"
13_cis_retnglc,401-10-5,,,13-Cis-Retinoyl Glucuronide,,,,,,,13_cis_retnglc,[H]O[C@@]1([H])[C@]([H])(OC(=O)C(\[H])=C(\C(\[H])=C(/[H])\C(\[H])=C(\C([H])=C([H])C2=C(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C2(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H])/C([H])([H])[H])O[C@]([H])(C([O-])=O)[C@@]([H])(O[H])[C@]1([H])O[H],MTGFYEHKPMOVNE-JZXLACIESA-M,"InChI=1S/C26H36O8/c1-15(11-12-18-17(3)10-7-13-26(18,4)5)8-6-9-16(2)14-19(27)33-25-22(30)20(28)21(29)23(34-25)24(31)32/h6,8-9,11-12,14,20-23,25,28-30H,7,10,13H2,1-5H3,(H,31,32)/p-1/b9-6+,12-11-,15-8+,16-14+/t20-,21-,22+,23-,25+/m0/s1"
1331tacr,,,,"13,31-O-Didesmethyl-Tacrolimus",,,,,,,,,,
13dampp,109-76-2,15725,"Human Metabolome Database (HMDB): 1,3-Diaminopropane is a stable, flammable and highly hydroscopic fluid. It is a polyamine that is normally quite toxic if swallowed, inhaled or absorbed through the skin. It is a catabolic byproduct of spermidine. It is also a precursor in the enzymatic synthesis of beta-alanine. 1, 3-Diaminopropane is involved in the arginine/proline metabolic pathways and the beta-alanine metabolic pathway.","1,3-Diaminopropane",HMDB0000002,,,C00986,CPD-313,FDB005274,13dampp,[H][N+]([H])([H])C([H])([H])C([H])([H])C([H])([H])[N+]([H])([H])[H],XFNJVJPLKCPIBV-UHFFFAOYSA-P,InChI=1S/C3H10N2/c4-2-1-3-5/h1-5H2/p+2
13dmt,,,,"13-O-Desmethyl Tacrolimus, 13-DMT or M-I",,,,,,,,,,
13dpg,1981-49-3,,"Human Metabolome Database (HMDB): 1,3-Bisphosphogylcerate (1,3BPG), also known as PGAP, is a 3-carbon organic molecule present in most, if not all living creatures. It primarily exists as a metabolic intermediate in glycolysis during respiration. 1,3BPG have been recognized as regulatory signal implicated in the control of metabolism, oxygen affinity of red cells and other cellular functions. 1,3BPG concentration in erythrocytes changes in a number of pathological conditions, such as Inherited Phosphoglycerate kinase deficiency in erythrocytes (involved in the synthesis and breakdown of 1,3 BPG). (PMID 3555887). 1,3-bisphosphoglycerate is the anion form of bisphosphoglyceric acid. It is phosphorylated at the number 1 and 3 carbons. The result of this phosphorylation gives 1,3BPG important biological properties such as the ability to phosphorylate ADP to form the energy storage molecule ATP.(wikipedia).","Glyceric acid 1,3-biphosphate",HMDB0001270,,,C00236,DPG,FDB022524,13dpg,[H]O[C@@]([H])(C(=O)OP([O-])([O-])=O)C([H])([H])OP([O-])([O-])=O,LJQLQCAXBUHEAZ-UWTATZPHSA-J,"InChI=1S/C3H8O10P2/c4-2(1-12-14(6,7)8)3(5)13-15(9,10)11/h2,4H,1H2,(H2,6,7,8)(H2,9,10,11)/p-4/t2-/m1/s1"
13m3hmyrsACP,,,,13-methyl-3-hydroxy-tetra-decanoyl-ACP,,,,,,,,,,
13m3omyrsACP,,,,13-methyl-3-oxo-tetra-decanoyl-ACP,,,,,,,,,,
13mmyrsACP,,,,13-methyl-tetra-decanoyl-ACP,,,,,,,,,,
13mtmrs2eACP,,,,13-methyl-trans-tetra-dec-2-enoyl-ACP,,,,,,,,,,
13ppd,,16109,,"Propane-1,3-diol",,,,C02457,,,,,,"InChI=1S/C3H8O2/c4-2-1-3-5/h4-5H,1-3H2"
