name_of_disease,abbreviation_of_disease,type_of_disease,notes_of_disease,phenotype,organ_affected,cheblid_of_biomarker,description_of_biomarker,fullname_of_biomarker,abbreviation_of_biomarker,inchikey_of_biomarker,inchistring_of_biomarker,keggid_of_biomarker,casregistry_of_biomarker,value_of_biomarker,normal_conc_of_biomarker,ramedis_of_biomarker,range_conc_of_biomarker,biocyc_biomarker,smile_biomarker,hmdb_biomarker,reconMap3_biomarker,food_db_biomarker,pubChemId_biomarker
Carbamoyl Phosphate Synthetase I Deficiency,CPS1,Inherited metabolic disorder,"In plasma-decreased citrulline, increased glutamine. In urine-transient increase of 5-oxoproline, increase lysine, glycine and uracil.","1) Early-onset form-congenital hyperammonemia and decreased levels of carbamoyl phosphate synthetase. 2) Delayed-onset form- 3 patients were described aged 9, 32 and 26 years.",Nervous system,18050,"Human Metabolome Database (HMDB): Glutamine (Gln) is one of the 20 amino acids encoded by the standard genetic code. In humans it is considered a non-essential amino acid. Structurally, glutamine is similar to the amino acid glutamic acid. However, instead of having a terminal carboxylic acid, it has an amide. Enzymatically, glutamine is formed by replacing a side-chain hydroxyl of glutamic acid with an amine functional group. Glutamine is found in foods high in proteins, such as fish, red meat, beans, and dairy products. Glutamine is often used as a supplement in weightlifting, bodybuilding, endurance and other sports, as well as by those who suffer from muscular cramps or pain, particularly elderly people. The main use of glutamine within the diet of either group is as a means of replenishing the body's stores of amino acids that have been used during exercise or everyday activities. Studies which have looked into problems with excessive consumption of glutamine thus far have proved inconclusive. However, normal supplementation is healthy mainly because glutamine is supposed to be supplemented after prolonged periods of exercise (for example, a workout or exercise in which amino acids are required for use) and replenishes amino acid stores. This is one of the main reasons glutamine is recommended during fasting or for people who suffer from physical trauma, immune deficiencies, or cancer. There is a significant body of evidence that links glutamine-enriched diets with positive intestinal effects. These include maintenance of gut barrier function, aiding intestinal cell proliferation and differentiation, as well as generally reducing septic morbidity and the symptoms of Irritable Bowel Syndrome (IBS). The reason for such ""cleansing"" properties is thought to stem from the fact that the intestinal extraction rate of glutamine is higher than that for other amino acids, and is therefore thought to be the most viable option when attempting to alleviate conditions relating to the gastrointestinal tract. These conditions were discovered after comparing plasma concentration within the gut between glutamine-enriched and non glutamine-enriched diets. However, even though glutamine is thought to have ""cleansing"" properties and effects, it is unknown to what extent glutamine has clinical benefits, due to the varied concentrations of glutamine in varieties of food. It is also known that glutamine has positive effects in reducing healing time after operations. Hospital waiting times after abdominal surgery are reduced by providing parenteral nutrition regimens containing amounts of glutamine to patients. Clinical trials have revealed that patients on supplementation regimes containing glutamine have improved nitrogen balances, generation of cysteinyl-leukotrienes from polymorphonuclear neutrophil granulocytes and improved lymphocyte recovery and intestinal permeability (in postoperative patients) - in comparison to those who had no glutamine within their dietary regime; all without any side-effects (http://en.wikipedia.org/wiki/glutamine). L-Glutamine is found to be associated with carbamoyl phosphate synthetase deficiency, which is an inborn error of metabolism.",L-Glutamine,gln_L,ZDXPYRJPNDTMRX-VKHMYHEASA-N,"InChI=1S/C5H10N2O3/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H2,7,8)(H,9,10)/t3-/m0/s1",C00064,56-85-9,Increased,23.00 - 108.00,,28.00 - 240.00,GLN,[H]N([H])C(=O)C([H])([H])C([H])([H])[C@@]([H])(C([O-])=O)[N+]([H])([H])[H],HMDB0000641,gln_L,FDB012164,5961
Ornithine Transcarbamylase Deficiency,OTC,Inherited metabolic disorder,"Increased NH3 in blood, in plasma-decreased citrulline and ornithine but increased glutamine. In urine-glycine, lysine, orotic acid, uracil increased. Transient increase in 5-oxoproline.","Anadiotis et al. (2001) reported a 15-year-old male patient with OTC deficiency who developed pancreatitis while taking a low protein diet, citrulline, and sodium phenylbutyrate.","Nervous system, liver, skin, hair",18050,"Human Metabolome Database (HMDB): Glutamine (Gln) is one of the 20 amino acids encoded by the standard genetic code. In humans it is considered a non-essential amino acid. Structurally, glutamine is similar to the amino acid glutamic acid. However, instead of having a terminal carboxylic acid, it has an amide. Enzymatically, glutamine is formed by replacing a side-chain hydroxyl of glutamic acid with an amine functional group. Glutamine is found in foods high in proteins, such as fish, red meat, beans, and dairy products. Glutamine is often used as a supplement in weightlifting, bodybuilding, endurance and other sports, as well as by those who suffer from muscular cramps or pain, particularly elderly people. The main use of glutamine within the diet of either group is as a means of replenishing the body's stores of amino acids that have been used during exercise or everyday activities. Studies which have looked into problems with excessive consumption of glutamine thus far have proved inconclusive. However, normal supplementation is healthy mainly because glutamine is supposed to be supplemented after prolonged periods of exercise (for example, a workout or exercise in which amino acids are required for use) and replenishes amino acid stores. This is one of the main reasons glutamine is recommended during fasting or for people who suffer from physical trauma, immune deficiencies, or cancer. There is a significant body of evidence that links glutamine-enriched diets with positive intestinal effects. These include maintenance of gut barrier function, aiding intestinal cell proliferation and differentiation, as well as generally reducing septic morbidity and the symptoms of Irritable Bowel Syndrome (IBS). The reason for such ""cleansing"" properties is thought to stem from the fact that the intestinal extraction rate of glutamine is higher than that for other amino acids, and is therefore thought to be the most viable option when attempting to alleviate conditions relating to the gastrointestinal tract. These conditions were discovered after comparing plasma concentration within the gut between glutamine-enriched and non glutamine-enriched diets. However, even though glutamine is thought to have ""cleansing"" properties and effects, it is unknown to what extent glutamine has clinical benefits, due to the varied concentrations of glutamine in varieties of food. It is also known that glutamine has positive effects in reducing healing time after operations. Hospital waiting times after abdominal surgery are reduced by providing parenteral nutrition regimens containing amounts of glutamine to patients. Clinical trials have revealed that patients on supplementation regimes containing glutamine have improved nitrogen balances, generation of cysteinyl-leukotrienes from polymorphonuclear neutrophil granulocytes and improved lymphocyte recovery and intestinal permeability (in postoperative patients) - in comparison to those who had no glutamine within their dietary regime; all without any side-effects (http://en.wikipedia.org/wiki/glutamine). L-Glutamine is found to be associated with carbamoyl phosphate synthetase deficiency, which is an inborn error of metabolism.",L-Glutamine,gln_L,ZDXPYRJPNDTMRX-VKHMYHEASA-N,"InChI=1S/C5H10N2O3/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H2,7,8)(H,9,10)/t3-/m0/s1",C00064,56-85-9,Increased,23.00 - 108.00,,28.00 - 240.00,GLN,[H]N([H])C(=O)C([H])([H])C([H])([H])[C@@]([H])(C([O-])=O)[N+]([H])([H])[H],HMDB0000641,gln_L,FDB012164,5961
Argininosuccinic Aciduria,ASA,Inherited metabolic disorder,"In plasma-increased argininosuccinate, citrulline, glutamine, lysine.in urine-elevated argininosuccinate, glycine, orotic acid, lysine, uracil etc.",Asai et al. (1997) - Argininosuccinase activity was absent in her erythrocytes. Brittle hair also seen,"Nervous system, liver, skin",15682,"Human Metabolome Database (HMDB): Arginosuccinic acid is a basic amino acid. Some cells synthesize it from citrulline, aspartic acid and use it as a precursor for arginine in the urea cycle or Citrulline-NO cycle. The enzyme that catalyzes the reaction is argininosuccinate synthetase. Argininosuccinic acid is a precursor to fumarate in the citric acid cycle via argininosuccinate lyase. Defects in the argininosuccinate lyase enzyme can lead to argininosuccinate lyase deficiency, which is an inborn error of metabolism. Argininosuccinate (ASA) lyase deficiency results in defective cleavage of ASA. This leads to an accumulation of ASA in cells and an excessive excretion of ASA in urine (argininosuccinic aciduria). In virtually all respects, this disorder shares the characteristics of other urea cycle defects. The most important characteristic of ASA lyase deficiency is its propensity to cause hyperammonemia in affected individuals. ASA in affected individuals is excreted by the kidney at a rate practically equivalent to the glomerular filtration rate (GFR). Whether ASA itself causes a degree of toxicity due to hepatocellular accumulation is unknown; such an effect could help explain hyperammonemia development in affected individuals. Regardless, the name of the disease is derived from the rapid clearance of ASA in urine, although elevated levels of ASA can be found in plasma. ASA lyase deficiency is associated with high mortality and morbidity rates. Symptoms of ASA lyase deficiency include anorexia, irritability rapid breathing, lethargy and vomiting. Extreme symptoms include coma and cerebral edema.",Argininosuccinic acid,argsuc,KDZOASGQNOPSCU-ZBHICJROSA-M,"InChI=1S/C10H18N4O6/c11-5(8(17)18)2-1-3-13-10(12)14-6(9(19)20)4-7(15)16/h5-6H,1-4,11H2,(H,15,16)(H,17,18)(H,19,20)(H3,12,13,14)/p-1/t5-,6?/m0/s1",C03406,2387-71-5,Increased,0.01 - 0.8,"747, 455",0.70 - 78.00,,[H]N(C(N([H])C([H])(C([O-])=O)C([H])([H])C([O-])=O)=[N+]([H])[H])C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(C([O-])=O)[N+]([H])([H])[H],HMDB0000052,argsuc,FDB021885,16950
Medium Chain Acyl-Coenzyme A Dehydrogenase Deficiency,MCAD,Inherited metabolic disorder,"Increase C8/C10 and C10:1 in blood, increased medium chain dicarboxylic acids in urine","Classic MCAD deficiency and Mild MCAD deficiency. Iafolla et al. (1994) -survivors have a risk of developmental disability, chronic muscle weakness, failure to thrive, and 'cerebral palsy.'","Liver, nervous system",11060,"Human Metabolome Database (HMDB): Carnitine is not an essential amino acid; it can be synthesized in the body. However, it is so important in providing energy to muscles including the heart-that some researchers are now recommending carnitine supplements in the diet, particularly for people who do not consume much red meat, the main food source for carnitine. Carnitine has been described as a vitamin, an amino acid, or a metabimin, i.e., an essential metabolite. Like the B vitamins, carnitine contains nitrogen and is very soluble in water, and to some researchers carnitine is a vitamin (Liebovitz 1984). It was found that an animal (yellow mealworm) could not grow without carnitine in its diet. However, as it turned out, almost all other animals, including humans, do make their own carnitine; thus, it is no longer considered a vitamin. Nevertheless, in certain circumstances-such as deficiencies of methionine, lysine or vitamin C or kidney dialysis--carnitine shortages develop. Under these conditions, carnitine must be absorbed from food, and for this reason it is sometimes referred to as a ""metabimin"" or a conditionally essential metabolite. Like the other amino acids used or manufactured by the body, carnitine is an amine. But like choline, which is sometimes considered to be a B vitamin, carnitine is also an alcohol (specifically, a trimethylated carboxy-alcohol). Thus, carnitine is an unusual amino acid and has different functions than most other amino acids, which are most usually employed by the body in the construction of protein. Carnitine is an essential factor in fatty acid metabolism in mammals. It's most important known metabolic function is to transport fat into the mitochondria of muscle cells, including those in the heart, for oxidation. This is how the heart gets most of its energy. In humans, about 25% of carnitine is synthesized in the liver, kidney and brain from the amino acids lysine and methionine. Most of the carnitine in the body comes from dietary sources such as red meat and dairy products. Inborn errors of carnitine metabolism can lead to brain deterioration like that of Reye's syndrome, gradually worsening muscle weakness, Duchenne-like muscular dystrophy and extreme muscle weakness with fat accumulation in muscles. Borurn et al. (1979) describe carnitine as an essential nutrient for pre-term babies, certain types (non-ketotic) of hypoglycemics, kidney dialysis patients, cirrhosis, and in kwashiorkor, type IV hyperlipidemia, heart muscle disease (cardiomyopathy), and propionic or organic aciduria (acid urine resulting from genetic disease such as propionic acidemia or other anomalies). In all these conditions and the inborn errors of carnitine metabolism, carnitine is essential to life and carnitine supplements are valuable. carnitine therapy may also be useful in a wide variety of clinical conditions. carnitine supplementation has improved some patients who have angina secondary to coronary artery disease. It may be worth a trial in any form of hyperlipidemia or muscle weakness. carnitine supplements may be useful in many forms of toxic or metabolic liver disease and in cases of heart muscle disease. Hearts undergoing severe arrhythmia quickly deplete their stores of carnitine. Athletes, particularly in Europe, have used carnitine supplements for improved endurance. carnitine may improve muscle building by improving fat utilization and may even be useful in treating obesity. carnitine joins a long list of nutrients which may be of value in treating pregnant women, hypothyroid individuals, and male infertility due to low motility of sperm. Even the Physician's Desk Reference gives indication for carnitine supplements as ""improving the tolerance of ischemic heart disease, myocardial insufficiencies, and type IV hyperlipoproteinemia. carnitine deficiency is noted in abnormal liver function, renal dialysis patients, and severe to moderate muscular weakness with associated anorexia."" (http://www.dcnutrition.com). Carnitine is a biomarker for the consumption of meat.",L-Carnitine,crn,PHIQHXFUZVPYII-ZCFIWIBFSA-N,"InChI=1S/C7H15NO3/c1-8(2,3)5-6(9)4-7(10)11/h6,9H,4-5H2,1-3H3/t6-/m1/s1",C00318,541-15-1,Decreased,10.00 - 50.00,,6.00 - 9.50,CARNITINE,[H]O[C@]([H])(C([H])([H])C([O-])=O)C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],HMDB0000062,crn,FDB000572,2724480
Systemic Carnitine Deficiency,SCD,Inherited metabolic disorder,"Decreased free and total carnitine, increased urinary dicarboxylic fatty acids","Systemic carnitine deficiency, muscle carnitine deficiency. High-affinity carnitine transporter expressed in muscle, heart, kidney, lymphoblasts, and fibroblasts. The defect is expressed as impaired fatty acid oxidation in skeletal and heart muscle. Stanley et al. (1991) -defect appeared to be expressed also in muscle and kidney.-OMIM:212140. Myopathic carnitine deficiency (OMIM:212160) is restricted to skeletal muscle","Nervous system, heart, muscle, liver",11060,"Human Metabolome Database (HMDB): Carnitine is not an essential amino acid; it can be synthesized in the body. However, it is so important in providing energy to muscles including the heart-that some researchers are now recommending carnitine supplements in the diet, particularly for people who do not consume much red meat, the main food source for carnitine. Carnitine has been described as a vitamin, an amino acid, or a metabimin, i.e., an essential metabolite. Like the B vitamins, carnitine contains nitrogen and is very soluble in water, and to some researchers carnitine is a vitamin (Liebovitz 1984). It was found that an animal (yellow mealworm) could not grow without carnitine in its diet. However, as it turned out, almost all other animals, including humans, do make their own carnitine; thus, it is no longer considered a vitamin. Nevertheless, in certain circumstances-such as deficiencies of methionine, lysine or vitamin C or kidney dialysis--carnitine shortages develop. Under these conditions, carnitine must be absorbed from food, and for this reason it is sometimes referred to as a ""metabimin"" or a conditionally essential metabolite. Like the other amino acids used or manufactured by the body, carnitine is an amine. But like choline, which is sometimes considered to be a B vitamin, carnitine is also an alcohol (specifically, a trimethylated carboxy-alcohol). Thus, carnitine is an unusual amino acid and has different functions than most other amino acids, which are most usually employed by the body in the construction of protein. Carnitine is an essential factor in fatty acid metabolism in mammals. It's most important known metabolic function is to transport fat into the mitochondria of muscle cells, including those in the heart, for oxidation. This is how the heart gets most of its energy. In humans, about 25% of carnitine is synthesized in the liver, kidney and brain from the amino acids lysine and methionine. Most of the carnitine in the body comes from dietary sources such as red meat and dairy products. Inborn errors of carnitine metabolism can lead to brain deterioration like that of Reye's syndrome, gradually worsening muscle weakness, Duchenne-like muscular dystrophy and extreme muscle weakness with fat accumulation in muscles. Borurn et al. (1979) describe carnitine as an essential nutrient for pre-term babies, certain types (non-ketotic) of hypoglycemics, kidney dialysis patients, cirrhosis, and in kwashiorkor, type IV hyperlipidemia, heart muscle disease (cardiomyopathy), and propionic or organic aciduria (acid urine resulting from genetic disease such as propionic acidemia or other anomalies). In all these conditions and the inborn errors of carnitine metabolism, carnitine is essential to life and carnitine supplements are valuable. carnitine therapy may also be useful in a wide variety of clinical conditions. carnitine supplementation has improved some patients who have angina secondary to coronary artery disease. It may be worth a trial in any form of hyperlipidemia or muscle weakness. carnitine supplements may be useful in many forms of toxic or metabolic liver disease and in cases of heart muscle disease. Hearts undergoing severe arrhythmia quickly deplete their stores of carnitine. Athletes, particularly in Europe, have used carnitine supplements for improved endurance. carnitine may improve muscle building by improving fat utilization and may even be useful in treating obesity. carnitine joins a long list of nutrients which may be of value in treating pregnant women, hypothyroid individuals, and male infertility due to low motility of sperm. Even the Physician's Desk Reference gives indication for carnitine supplements as ""improving the tolerance of ischemic heart disease, myocardial insufficiencies, and type IV hyperlipoproteinemia. carnitine deficiency is noted in abnormal liver function, renal dialysis patients, and severe to moderate muscular weakness with associated anorexia."" (http://www.dcnutrition.com). Carnitine is a biomarker for the consumption of meat.",L-Carnitine,crn,PHIQHXFUZVPYII-ZCFIWIBFSA-N,"InChI=1S/C7H15NO3/c1-8(2,3)5-6(9)4-7(10)11/h6,9H,4-5H2,1-3H3/t6-/m1/s1",C00318,541-15-1,Decreased,10.00 - 50.00,"271, 273, 522",2.00 - 10.00,CARNITINE,[H]O[C@]([H])(C([H])([H])C([O-])=O)C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],HMDB0000062,crn,FDB000572,2724480
3-Methylcrotonyl CoA Carboxylase Deficiency,3MCC,Inherited metabolic disorder,"Increased C5OH in blood. In urine-3-hydroxyisovaleric acid, 3-methylcrotonylglycine, and ketone bodies are increased.","2 types- 1) 3-methylcrotonylglycinuria I is caused by mutation in the gene encoding the alpha subunit of 3-methylcrotonyl-CoA carboxylase(MCCC1). 2) 3-methylcrotonylglycinuria II, or MCC2 deficiency, is caused by mutation in the gene encoding the beta subunit of 3-methylcrotonyl-CoA carboxylase (MCCC2). There is gross neutrophilia, transient alopecia, and fatty liver. Mutations in the MCCC1 or MCCC2  gene reduce or eliminate the activity of 3-MCC, preventing the body from processing leucine, causing  toxic build-up of by-products of leucine metabolism, which can damage the brain.","Nervous system,  muscle",11060,"Human Metabolome Database (HMDB): Carnitine is not an essential amino acid; it can be synthesized in the body. However, it is so important in providing energy to muscles including the heart-that some researchers are now recommending carnitine supplements in the diet, particularly for people who do not consume much red meat, the main food source for carnitine. Carnitine has been described as a vitamin, an amino acid, or a metabimin, i.e., an essential metabolite. Like the B vitamins, carnitine contains nitrogen and is very soluble in water, and to some researchers carnitine is a vitamin (Liebovitz 1984). It was found that an animal (yellow mealworm) could not grow without carnitine in its diet. However, as it turned out, almost all other animals, including humans, do make their own carnitine; thus, it is no longer considered a vitamin. Nevertheless, in certain circumstances-such as deficiencies of methionine, lysine or vitamin C or kidney dialysis--carnitine shortages develop. Under these conditions, carnitine must be absorbed from food, and for this reason it is sometimes referred to as a ""metabimin"" or a conditionally essential metabolite. Like the other amino acids used or manufactured by the body, carnitine is an amine. But like choline, which is sometimes considered to be a B vitamin, carnitine is also an alcohol (specifically, a trimethylated carboxy-alcohol). Thus, carnitine is an unusual amino acid and has different functions than most other amino acids, which are most usually employed by the body in the construction of protein. Carnitine is an essential factor in fatty acid metabolism in mammals. It's most important known metabolic function is to transport fat into the mitochondria of muscle cells, including those in the heart, for oxidation. This is how the heart gets most of its energy. In humans, about 25% of carnitine is synthesized in the liver, kidney and brain from the amino acids lysine and methionine. Most of the carnitine in the body comes from dietary sources such as red meat and dairy products. Inborn errors of carnitine metabolism can lead to brain deterioration like that of Reye's syndrome, gradually worsening muscle weakness, Duchenne-like muscular dystrophy and extreme muscle weakness with fat accumulation in muscles. Borurn et al. (1979) describe carnitine as an essential nutrient for pre-term babies, certain types (non-ketotic) of hypoglycemics, kidney dialysis patients, cirrhosis, and in kwashiorkor, type IV hyperlipidemia, heart muscle disease (cardiomyopathy), and propionic or organic aciduria (acid urine resulting from genetic disease such as propionic acidemia or other anomalies). In all these conditions and the inborn errors of carnitine metabolism, carnitine is essential to life and carnitine supplements are valuable. carnitine therapy may also be useful in a wide variety of clinical conditions. carnitine supplementation has improved some patients who have angina secondary to coronary artery disease. It may be worth a trial in any form of hyperlipidemia or muscle weakness. carnitine supplements may be useful in many forms of toxic or metabolic liver disease and in cases of heart muscle disease. Hearts undergoing severe arrhythmia quickly deplete their stores of carnitine. Athletes, particularly in Europe, have used carnitine supplements for improved endurance. carnitine may improve muscle building by improving fat utilization and may even be useful in treating obesity. carnitine joins a long list of nutrients which may be of value in treating pregnant women, hypothyroid individuals, and male infertility due to low motility of sperm. Even the Physician's Desk Reference gives indication for carnitine supplements as ""improving the tolerance of ischemic heart disease, myocardial insufficiencies, and type IV hyperlipoproteinemia. carnitine deficiency is noted in abnormal liver function, renal dialysis patients, and severe to moderate muscular weakness with associated anorexia."" (http://www.dcnutrition.com). Carnitine is a biomarker for the consumption of meat.",L-Carnitine,crn,PHIQHXFUZVPYII-ZCFIWIBFSA-N,"InChI=1S/C7H15NO3/c1-8(2,3)5-6(9)4-7(10)11/h6,9H,4-5H2,1-3H3/t6-/m1/s1",C00318,541-15-1,Decreased,10.00 - 50.00,,5.00 - 33.00,CARNITINE,[H]O[C@]([H])(C([H])([H])C([O-])=O)C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],HMDB0000062,crn,FDB000572,2724480
Glutaric Acidemia Type I,GA1,Inherited metabolic disorder,"Increased C5DC in blood, in urine-increased C4OH, C5DC etc.","Strauss et al. (2003) reported nonketosis GA-I give rise to myopathy, cardiomyopathy, and Reye-like hepatocerebral crisis.",Nervous system,11060,"Human Metabolome Database (HMDB): Carnitine is not an essential amino acid; it can be synthesized in the body. However, it is so important in providing energy to muscles including the heart-that some researchers are now recommending carnitine supplements in the diet, particularly for people who do not consume much red meat, the main food source for carnitine. Carnitine has been described as a vitamin, an amino acid, or a metabimin, i.e., an essential metabolite. Like the B vitamins, carnitine contains nitrogen and is very soluble in water, and to some researchers carnitine is a vitamin (Liebovitz 1984). It was found that an animal (yellow mealworm) could not grow without carnitine in its diet. However, as it turned out, almost all other animals, including humans, do make their own carnitine; thus, it is no longer considered a vitamin. Nevertheless, in certain circumstances-such as deficiencies of methionine, lysine or vitamin C or kidney dialysis--carnitine shortages develop. Under these conditions, carnitine must be absorbed from food, and for this reason it is sometimes referred to as a ""metabimin"" or a conditionally essential metabolite. Like the other amino acids used or manufactured by the body, carnitine is an amine. But like choline, which is sometimes considered to be a B vitamin, carnitine is also an alcohol (specifically, a trimethylated carboxy-alcohol). Thus, carnitine is an unusual amino acid and has different functions than most other amino acids, which are most usually employed by the body in the construction of protein. Carnitine is an essential factor in fatty acid metabolism in mammals. It's most important known metabolic function is to transport fat into the mitochondria of muscle cells, including those in the heart, for oxidation. This is how the heart gets most of its energy. In humans, about 25% of carnitine is synthesized in the liver, kidney and brain from the amino acids lysine and methionine. Most of the carnitine in the body comes from dietary sources such as red meat and dairy products. Inborn errors of carnitine metabolism can lead to brain deterioration like that of Reye's syndrome, gradually worsening muscle weakness, Duchenne-like muscular dystrophy and extreme muscle weakness with fat accumulation in muscles. Borurn et al. (1979) describe carnitine as an essential nutrient for pre-term babies, certain types (non-ketotic) of hypoglycemics, kidney dialysis patients, cirrhosis, and in kwashiorkor, type IV hyperlipidemia, heart muscle disease (cardiomyopathy), and propionic or organic aciduria (acid urine resulting from genetic disease such as propionic acidemia or other anomalies). In all these conditions and the inborn errors of carnitine metabolism, carnitine is essential to life and carnitine supplements are valuable. carnitine therapy may also be useful in a wide variety of clinical conditions. carnitine supplementation has improved some patients who have angina secondary to coronary artery disease. It may be worth a trial in any form of hyperlipidemia or muscle weakness. carnitine supplements may be useful in many forms of toxic or metabolic liver disease and in cases of heart muscle disease. Hearts undergoing severe arrhythmia quickly deplete their stores of carnitine. Athletes, particularly in Europe, have used carnitine supplements for improved endurance. carnitine may improve muscle building by improving fat utilization and may even be useful in treating obesity. carnitine joins a long list of nutrients which may be of value in treating pregnant women, hypothyroid individuals, and male infertility due to low motility of sperm. Even the Physician's Desk Reference gives indication for carnitine supplements as ""improving the tolerance of ischemic heart disease, myocardial insufficiencies, and type IV hyperlipoproteinemia. carnitine deficiency is noted in abnormal liver function, renal dialysis patients, and severe to moderate muscular weakness with associated anorexia."" (http://www.dcnutrition.com). Carnitine is a biomarker for the consumption of meat.",L-Carnitine,crn,PHIQHXFUZVPYII-ZCFIWIBFSA-N,"InChI=1S/C7H15NO3/c1-8(2,3)5-6(9)4-7(10)11/h6,9H,4-5H2,1-3H3/t6-/m1/s1",C00318,541-15-1,Decreased,10.00 - 50.00,,3.20 - 5.80,CARNITINE,[H]O[C@]([H])(C([H])([H])C([O-])=O)C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],HMDB0000062,crn,FDB000572,2724480
Systemic Carnitine Deficiency,SCD,Inherited metabolic disorder,"Decreased free and total carnitine, increased urinary dicarboxylic fatty acids","Systemic carnitine deficiency, muscle carnitine deficiency. High-affinity carnitine transporter expressed in muscle, heart, kidney, lymphoblasts, and fibroblasts. The defect is expressed as impaired fatty acid oxidation in skeletal and heart muscle. Stanley et al. (1991) -defect appeared to be expressed also in muscle and kidney.-OMIM:212140. Myopathic carnitine deficiency (OMIM:212160) is restricted to skeletal muscle","Nervous system, heart, muscle, liver",57589,"Human Metabolome Database (HMDB): L-Acetylcarnitine is an acetic acid ester of carnitine that facilitates movement of acetyl CoA into the matrices of mammalian mitochondria during the oxidation of fatty acids. In addition to his metabolic role, acetyl-L-carnitine (ALC) posses unique neuroprotective, neuromodulatory, and neurotrophic properties this may play an important role in counteracting various disease processes. (PubMed ID 15363640).",L-Acetylcarnitine,acrn,RDHQFKQIGNGIED-MRVPVSSYSA-N,"InChI=1S/C9H17NO4/c1-7(11)14-8(5-9(12)13)6-10(2,3)4/h8H,5-6H2,1-4H3/t8-/m1/s1",C02571,3040-38-8,Decreased,9.00 - 47.00,,3.80 - 16.00,(-)o-acetylcarnitine,[H]C([H])([H])C(=O)O[C@]([H])(C([H])([H])C([O-])=O)C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],HMDB0000201,acrn,FDB021904,1
Medium Chain Acyl-Coenzyme A Dehydrogenase Deficiency,MCAD,Inherited metabolic disorder,"Increase C8/C10 and C10:1 in blood, increased medium chain dicarboxylic acids in urine","Classic MCAD deficiency and Mild MCAD deficiency. Iafolla et al. (1994) -survivors have a risk of developmental disability, chronic muscle weakness, failure to thrive, and 'cerebral palsy.'","Liver, nervous system",57589,"Human Metabolome Database (HMDB): L-Acetylcarnitine is an acetic acid ester of carnitine that facilitates movement of acetyl CoA into the matrices of mammalian mitochondria during the oxidation of fatty acids. In addition to his metabolic role, acetyl-L-carnitine (ALC) posses unique neuroprotective, neuromodulatory, and neurotrophic properties this may play an important role in counteracting various disease processes. (PubMed ID 15363640).",L-Acetylcarnitine,acrn,RDHQFKQIGNGIED-MRVPVSSYSA-N,"InChI=1S/C9H17NO4/c1-7(11)14-8(5-9(12)13)6-10(2,3)4/h8H,5-6H2,1-4H3/t8-/m1/s1",C02571,3040-38-8,Decreased,9.00 - 47.00,,4.20 - 7.80,(-)o-acetylcarnitine,[H]C([H])([H])C(=O)O[C@]([H])(C([H])([H])C([O-])=O)C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],HMDB0000201,acrn,FDB021904,1
Propionic Acidemia,PA,Inherited metabolic disorder,"Increased C3 in blood, in plasma increased amounts of propionic acid, glycine, glutamine, and total carnitine. In urine-increased OH-propionic and valeric acid etc.","Neutropenia, periodic thrombocytopenia, hypogammaglobulinemia. Increased propionic acid affects brain.","Nervous system,  muscle,  heart",28867,"Human Metabolome Database (HMDB): Propionylcarnitine is present in high abundance in the urine of patients with Methylmalonyl-CoA mutase (MUT) deficiency, (together with Methylmalonic acid). MUT is a mitochondrial enzyme that catalyzes the isomerization of methylmalonyl-CoA to succinyl-CoA (OMIM 609058 ). Propionylcarnitine is found to be associated with propionic acidemia, which is an inborn error of metabolism.",Propionylcarnitine,pcrn,UFAHZIUFPNSHSL-UHFFFAOYSA-N,"InChI=1S/C10H19NO4/c1-5-10(14)15-8(6-9(12)13)7-11(2,3)4/h8H,5-7H2,1-4H3",C03017,17298-37-2,Increased,0.60 - 4.30,,6.80 - 25.20,,[H]C([H])([H])C([H])([H])C(=O)OC([H])(C([H])([H])C([O-])=O)C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],HMDB0000824,pcrn,FDB022268,107738
